id,clip_cosine
001,0.2110
002,0.2392
003,0.1804
004,0.2899
005,0.2239
006,0.2204
007,0.1954
008,0.3191
009,0.1324
010,0.2617
011,0.2232
012,0.2010
013,0.1508
014,0.2392
015,0.2609
016,0.2174
017,0.2237
018,0.2975
019,0.2224
020,0.2124
021,0.2080
022,0.2269
023,0.1765
024,0.2330
025,0.1765
026,0.2619
027,0.2775
028,0.1981
029,0.2338
030,0.2295
031,0.1772
032,0.1656
033,0.2848
034,0.2169
035,0.2100
036,0.1397
037,0.1680
038,0.2622
039,0.2315
040,0.2364
041,0.2234
042,0.2403
043,0.2084
044,0.1747
045,0.2486
046,0.2373
047,0.2703
048,0.2501
049,0.2502
050,0.2265
051,0.2063
052,0.2799
053,0.2418
054,0.2294
055,0.2292
056,0.2842
057,0.2260
058,0.2671
059,0.2079
060,0.2056
061,0.2554
062,0.2722
063,0.1645
064,0.2711
065,0.2304
066,0.1801
067,0.1920
068,0.2587
069,0.2925
070,0.2940
071,0.2906
072,0.1644
073,0.2442
074,0.2297
075,0.2510
076,0.2406
077,0.1867
078,0.3161
079,0.2443
080,0.2463
081,0.1913
082,0.1950
083,0.2243
084,0.2685
085,0.2753
086,0.2444
087,0.2794
088,0.2042
089,0.1622
090,0.2432
091,0.3097
092,0.1669
093,0.1636
094,0.3121
095,0.2583
096,0.2055
097,0.2152
098,0.2705
099,0.2629
100,0.2625
101,0.2953
102,0.1996
103,0.1792
104,0.1623
105,0.3091
106,0.2645
107,0.1978
108,0.2632
109,0.2067
110,0.1845
111,0.2868
112,0.3235
113,0.1508
114,0.2939
115,0.2053
116,0.2631
117,0.1601
118,0.1586
119,0.2476
120,0.2168
121,0.2315
122,0.1951
123,0.2098
124,0.2307
125,0.3259
126,0.1853
127,0.1946
128,0.2400
129,0.2587
130,0.2046
131,0.1454
132,0.2717
133,0.2867
134,0.1836
135,0.2010
136,0.3214
137,0.2253
138,0.1829
139,0.2129
140,0.2648
141,0.2420
142,0.2117
143,0.2586
144,0.1887
145,0.2005
146,0.2004
147,0.1853
148,0.2645
149,0.2257
150,0.1792
151,0.2381
152,0.1954
153,0.2113
154,0.2386
155,0.2815
156,0.2332
157,0.2179
158,0.2020
159,0.1829
160,0.1398
161,0.1614
162,0.2534
163,0.2260
164,0.2326
165,0.1845
166,0.1738
167,0.1393
168,0.2078
169,0.2054
170,0.1967
171,0.2192
172,0.1833
173,0.2331
174,0.2251
175,0.2464
176,0.2134
177,0.1279
178,0.2273
179,0.1124
180,0.1903
181,0.2172
182,0.2153
183,0.2850
184,0.1941
185,0.1856
186,0.1602
187,0.2000
188,0.1746
189,0.2101
190,0.2136
191,0.2592
192,0.2077
193,0.1931
194,0.2471
195,0.2032
196,0.2352
197,0.1670
198,0.1956
199,0.2002
200,0.2263
201,0.2672
202,0.2086
203,0.2021
204,0.1912
205,0.2659
206,0.2165
207,0.2184
208,0.2826
209,0.2633
210,0.1872
211,0.2226
212,0.2158
213,0.2295
214,0.1995
215,0.2351
216,0.3125
217,0.2777
218,0.2457
219,0.1983
220,0.1929
221,0.2834
222,0.2196
223,0.2315
224,0.1658
225,0.1997
226,0.1927
227,0.2328
228,0.2346
229,0.2253
230,0.2029
231,0.2197
232,0.1604
233,0.2218
234,0.1473
235,0.1942
236,0.1882
237,0.2038
238,0.2411
239,0.2830
240,0.2210
241,0.1997
242,0.2956
243,0.2055
244,0.1442
245,0.2060
246,0.2023
247,0.1939
248,0.1590
249,0.2244
250,0.2036
