id,stratum,zero_mean_judge_score,last_mean_judge_score,zero_metaphor_consistency,zero_analogy_appropriateness,zero_conceptual_integration,last_metaphor_consistency,last_analogy_appropriateness,last_conceptual_integration,delta_metaphor_consistency,delta_analogy_appropriateness,delta_conceptual_integration
035,0,6.222,8.444,5.667,8.333,4.667,8.0,8.667,8.667,2.333,0.33399999999999963,4.0
026,0,7.444,8.667,7.0,7.667,7.667,8.667,9.0,8.333,1.6669999999999998,1.3330000000000002,0.6660000000000004
153,0,7.556,8.5,7.0,8.333,7.333,8.333,8.667,8.5,1.3330000000000002,0.33399999999999963,1.1669999999999998
048,0,7.778,8.125,6.333,8.333,8.667,7.667,9.0,8.0,1.3339999999999996,0.6669999999999998,-0.6669999999999998
098,1,8.111,8.889,7.667,8.667,8.0,8.333,9.333,9.0,0.6660000000000004,0.6660000000000004,1.0
198,1,8.333,8.0,7.667,9.0,8.333,7.333,8.333,8.333,-0.33399999999999963,-0.6669999999999998,0.0
122,1,8.375,8.556,8.0,8.667,8.5,9.0,8.667,8.0,1.0,0.0,-0.5
045,1,8.444,8.7,8.0,8.667,8.667,8.0,9.25,8.5,0.0,0.5830000000000002,-0.16699999999999982
164,2,8.5,8.722,8.0,8.5,9.0,8.0,8.833,9.333,0.0,0.3330000000000002,0.3330000000000002
062,2,8.556,9.25,8.333,8.667,8.667,9.0,9.333,9.5,0.6669999999999998,0.6660000000000004,0.8330000000000002
133,2,8.556,8.667,8.333,8.667,8.667,8.667,8.667,8.667,0.33399999999999963,0.0,0.0
015,2,8.667,8.111,8.333,9.0,8.667,8.333,8.667,7.333,0.0,-0.3330000000000002,-1.3339999999999996
088,3,8.778,8.75,8.333,9.0,9.0,9.0,8.667,8.667,0.6669999999999998,-0.3330000000000002,-0.3330000000000002
230,3,8.833,8.812,8.333,8.833,9.333,8.0,9.167,9.0,-0.3330000000000002,0.33399999999999963,-0.3330000000000002
089,3,8.833,9.111,8.333,9.167,9.0,8.667,9.333,9.333,0.33399999999999963,0.16600000000000037,0.3330000000000002
249,3,8.889,8.667,8.333,9.0,9.333,8.333,9.333,8.333,0.0,0.3330000000000002,-1.0
162,4,9.0,9.0,8.333,9.333,9.333,8.333,9.333,9.333,0.0,0.0,0.0
176,4,9.0,8.333,8.333,9.333,9.333,8.0,8.667,8.333,-0.3330000000000002,-0.6660000000000004,-1.0
177,4,9.0,9.0,8.333,9.333,9.333,8.333,9.333,9.333,0.0,0.0,0.0
125,4,9.111,8.667,9.0,9.0,9.333,8.0,8.667,9.333,-1.0,-0.3330000000000002,0.0
