id,round,pullback_score,extracted_target,extracted_source,gold_domains,concepts_matched,n_gold_concepts,coverage,stop_reason,image_path
015,1,1.615,food temptation,monster on dinner plate,genetically modified food | predator,0,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k1/015.png
015,2,4.344,overcoming unhealthy habits,snake blocked by awareness shield from health goal trophy,genetically modified food | predator,0,2,0.667,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k2/015.png
015,3,1.162,pursuit of healthy living,snake threatening a healthy meal,genetically modified food | predator,0,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k3/015.png
015,4,2.384,health fraud,wolf hiding in salad bowl,genetically modified food | predator,0,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k4/015.png
015,5,3.414,deceptive gmo food marketing,wolf hiding in salad bowl,genetically modified food | predator,1,2,0.429,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k5/015.png
015,6,5.081,deceptive health marketing,wolf scientist deceiving trusting consumer,genetically modified food | predator,0,2,0.714,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k6/015.png
015,7,6.149,corporate food deception,wolf scientist injecting tomato,genetically modified food | predator,0,2,0.714,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k7/015.png
015,8,4.715,misleading food labeling,dark figure disguising gmo tomato,genetically modified food | predator,0,2,0.833,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k8/015.png
015,9,2.376,genetically modified food,monster emerging from tomato,genetically modified food | predator,1,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k9/015.png
015,10,2.859,gmo food safety concerns,monster emerging from injected tomato,genetically modified food | predator,1,2,0.667,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k10/015.png
026,1,0.938,coffee energizing effect,glowing flame in a cup,coffee | lightswitch,0,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k1/026.png
026,2,2.603,caffeine-induced alertness,light switch activation,coffee | lightswitch,0,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k2/026.png
026,3,2.334,mental alertness,light switch mechanism,coffee | lightswitch,0,2,0.4,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k3/026.png
026,4,2.07,caffeine awakening,light switch activation,coffee | lightswitch,1,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k4/026.png
026,5,3.013,human alertness,light switch,coffee | lightswitch,1,2,0.429,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k5/026.png
026,6,3.823,caffeine effect on energy,electrical switch mechanism,coffee | lightswitch,0,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k6/026.png
026,7,2.743,coffee energizing effect,light switch activation,coffee | lightswitch,0,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k7/026.png
026,8,1.012,coffee energizing effect,electrical switch activation,coffee | lightswitch,0,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k8/026.png
026,9,3.054,coffee effect on human energy,electrical switch mechanism,coffee | lightswitch,1,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k9/026.png
026,10,4.087,coffee energizing a person,electrical light switch,coffee | lightswitch,2,2,0.8,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k10/026.png
035,1,2.707,purity,white rose with dewdrops,dove cream | flower,0,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k1/035.png
035,2,3.288,skin moisturization,flower blooming in harsh environment,dove cream | flower,1,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k2/035.png
035,3,1.089,skin moisturization,cream nourishing a flower,dove cream | flower,2,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k3/035.png
035,4,1.973,skin moisturization,flower blooming in desert,dove cream | flower,2,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k4/035.png
035,5,2.423,skin moisturization,dove beauty product transforming dry petals,dove cream | flower,1,2,0.5,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k5/035.png
035,6,2.641,skin moisturization,flower transformation,dove cream | flower,2,2,0.429,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k6/035.png
035,7,1.653,skin moisturization,flower petal transformation,dove cream | flower,1,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k7/035.png
035,8,1.155,skin moisturization,flower with cream jar,dove cream | flower,2,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k8/035.png
035,9,1.477,skin moisturization,flower transformation,dove cream | flower,2,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k9/035.png
035,10,3.691,skin moisturization,cream pouring on flower,dove cream | flower,1,2,0.571,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k10/035.png
045,1,1.621,temptation,candy land with cheshire cat grin,sweet tooth | predator,0,2,0.286,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k1/045.png
045,2,4.718,tooth decay,monster attack,sweet tooth | predator,0,2,0.571,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k2/045.png
045,3,3.931,tooth decay,monster battle,sweet tooth | predator,0,2,0.571,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k3/045.png
045,4,1.709,tooth decay,monster attack,sweet tooth | predator,0,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k4/045.png
045,5,2.046,tooth decay,monster chase,sweet tooth | predator,0,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k5/045.png
045,6,1.872,sugar addiction,tooth decay,sweet tooth | predator,1,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k6/045.png
045,7,1.991,sugar craving,monster attack with temptation lure,sweet tooth | predator,1,2,0.333,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k7/045.png
045,8,1.188,tooth decay from sugar,crystal beast attacking cartoon tooth,sweet tooth | predator,0,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k8/045.png
045,9,2.214,self-control,monster chase scene,sweet tooth | predator,0,2,0.429,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k9/045.png
045,10,4.351,tooth decay,wolf attacking tooth,sweet tooth | predator,0,2,0.667,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k10/045.png
048,1,5.21,persistence under adversity,gecko foot gripping wet glass,hair gel | lizard foot,1,2,0.714,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k1/048.png
048,2,0.606,wet hair adhesion,gecko foot adhesion,hair gel | lizard foot,1,2,0.167,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k2/048.png
048,3,1.598,eyelash mite infestation,gecko adhesive foot,hair gel | lizard foot,1,2,0.4,max_rounds,visual_reasoning/experiment_1/ablations/oneshot/images/k3/048.png
