id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
001,Cars,Pollution,daily routine,highway traffic,ok,0.5017,0.1146,0.3082,False,True,0.1146,0.5017
002,Drunk driving,Car accidents,alcoholism,shattering bottle,ok,0.6603,0.1843,0.4223,False,True,0.6603,0.1843
003,Alcohol,Fun,essence or beauty,vessel or bottle,ok,0.3218,0.113,0.2174,False,False,0.113,0.3218
004,Air conditioning,Environments,climate crisis,heating and cooling technology,ok,0.5366,0.2251,0.3808,False,True,0.2251,0.5366
005,Juice,Freshness,resource extraction,juice making,ok,0.7539,0.1135,0.4337,False,True,0.1135,0.7539
006,Fast food,Adventure,magical marketplace,none,no_metaphor_detected,0.3396,0.2474,0.2935,False,False,0.3396,0.2474
007,Nutrition,Sports,athletic performance,nutrition,ok,1.0,0.669,0.8345,True,True,0.669,1.0
008,Pasta,Authentic Italian,solitude,none,no_metaphor_detected,0.2619,0.2292,0.2456,False,False,0.2619,0.2292
009,Nissan Juke,Batmobil,urban aspiration,luxury car,ok,0.4678,0.1043,0.286,False,True,0.1043,0.4678
010,Music,Punch,music experience,elemental explosion,ok,0.7331,0.2489,0.491,False,True,0.7331,0.2489
011,Vaccine resistance,Bridge crossing,bridging differences,bridge and gorge,ok,0.6363,0.0957,0.366,False,True,0.0957,0.6363
012,Cadburry chocolate,Fresh Milk,influence spreading,ripple effect,ok,0.0985,0.0529,0.0757,False,False,0.0529,0.0985
013,Running,Calory crusher,athletic performance,fire,ok,0.4967,0.2085,0.3526,False,True,0.4967,0.2085
014,Brämhults,Carrot,carrot,none,no_metaphor_detected,1.0,0.1863,0.5932,False,True,1.0,0.1863
015,Genetically modified food,Predators,healthy eating,wild beast,ok,0.3985,0.2292,0.3138,False,False,0.2292,0.3985
016,Time,Highway,life journey,road,ok,0.7382,0.2028,0.4705,False,True,0.2028,0.7382
017,Taking risks,Shark-ridden waters,overwhelming threat,great white shark,ok,0.6129,0.3634,0.4882,False,True,0.3634,0.6129
018,Pencils,Christmas,creativity,colored pencils,ok,0.8968,0.3299,0.6133,False,True,0.3299,0.8968
019,Smoking addiction,Maze,seeking mental clarity,maze,ok,1.0,0.1842,0.5921,False,True,0.1842,1.0
020,Cigarettes,Money,money waste,fire,ok,0.456,0.406,0.431,False,True,0.456,0.406
021,Driving safety,Lion tamer,control of the wild,lion taming,ok,0.8056,0.1119,0.4588,False,True,0.1119,0.8056
022,Right path,Highlighter,pursuit of knowledge,journey through library,ok,0.3184,0.0934,0.2059,False,False,0.0934,0.3184
023,Cars,City,ambition,height,ok,0.2674,0.2413,0.2544,False,False,0.2674,0.2413
024,Wallet,Travel,opportunity,none,no_metaphor_detected,0.3147,0.1614,0.238,False,False,0.3147,0.1614
025,Deadline,Trap,work pressure,drowning,ok,0.3038,0.2409,0.2724,False,False,0.2409,0.3038
026,Coffee,Lightswitch,comfort,none,no_metaphor_detected,0.338,0.17,0.254,False,False,0.338,0.17
027,Toothpaste,Spotlight,happiness,none,no_metaphor_detected,0.2686,0.2272,0.2479,False,False,0.2686,0.2272
028,Jaywalking,Death,urban isolation,solitary journey,ok,0.2152,0.1937,0.2044,False,False,0.1937,0.2152
029,Storing vegetables,Corpse,abundance,none,no_metaphor_detected,0.1779,0.0752,0.1265,False,False,0.0752,0.1779
030,Pharmaceutical industry,Money machine,technological innovation,steampunk machinery,ok,0.3915,0.3609,0.3762,False,False,0.3609,0.3915
031,Healthcare,Coin machine,healthcare,refrigeration,ok,1.0,0.2007,0.6004,False,True,1.0,0.2007
032,Donuts,Loch Ness monster,nature disruption,processed food,ok,0.3604,0.2459,0.3032,False,False,0.2459,0.3604
033,Donuts,Arrest your hunger,indulgence,none,no_metaphor_detected,0.4251,0.2675,0.3463,False,False,0.4251,0.2675
034,Eating chips,Flavour adventure,life challenges,canyon landscape,ok,0.2273,0.218,0.2227,False,False,0.218,0.2273
035,Dove cream,Flower,delicate flowers,none,no_metaphor_detected,0.7493,0.1605,0.4549,False,True,0.7493,0.1605
036,Drunk driving,Car crash,war,home,ok,0.313,0.2417,0.2774,False,False,0.313,0.2417
037,Heaphones,Pushing music,human perception,digital connectivity,ok,0.1623,0.1421,0.1522,False,False,0.1421,0.1623
038,Head without helmet,Cracked egg,mental fragility,cracked helmet,ok,0.6186,0.1996,0.4091,False,True,0.1996,0.6186
039,Digital entertainment,Funeral,chaos,scattered pages,ok,0.1651,0.0886,0.1268,False,False,0.1651,0.0886
040,Social media,False oasis,escape from civilization,tropical wilderness and distant city,ok,0.2451,0.147,0.196,False,False,0.147,0.2451
041,Online validation,Kibble,technological distraction,luminous hypnosis,ok,0.1227,0.0819,0.1023,False,False,0.1227,0.0819
042,Marine pollution,Ash tray,coral reef ecosystem,none,no_metaphor_detected,0.4021,0.1034,0.2528,False,False,0.4021,0.1034
043,Aspirin pill,Football helmet,football helmet,none,no_metaphor_detected,1.0,0.0919,0.5459,False,True,1.0,0.0919
044,Coca cola,Fuel,cognition,electrical energy,ok,0.3446,0.2019,0.2732,False,False,0.2019,0.3446
045,Sweet tooth,Predator,inner chaos,childhood innocence,ok,0.3759,0.271,0.3234,False,False,0.271,0.3759
046,Clear vision,Art to reality,creative vision,camera lens and paint explosion,ok,0.5032,0.1953,0.3493,False,True,0.5032,0.1953
047,Pencils,Colours of nature,forest,none,no_metaphor_detected,0.2464,0.1893,0.2179,False,False,0.2464,0.1893
048,Hair gel,Lizard's feet,marine adaptation,none,no_metaphor_detected,0.1956,0.1203,0.1579,False,False,0.1956,0.1203
