id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
001,Cars,Pollution,environmental destruction,industrial transport,ok,0.6871,0.2904,0.4887,False,True,0.6871,0.2904
003,Alcohol,Fun,purity,water,ok,0.5442,0.2498,0.397,False,True,0.2498,0.5442
004,Air conditioning,Environments,balance between extremes,air conditioning unit,ok,0.7274,0.2354,0.4814,False,True,0.2354,0.7274
005,Juice,Freshness,apple juice,none,no_metaphor_detected,0.7767,0.1931,0.4849,False,True,0.7767,0.1931
006,Fast food,Adventure,new beginning,fantasy adventure,ok,0.8029,0.1792,0.491,False,True,0.1792,0.8029
007,Nutrition,Sports,cooking,athletic performance,ok,0.669,0.4293,0.5491,False,True,0.4293,0.669
008,Pasta,Authentic Italian,unraveling complexity,eating pasta,ok,0.778,0.0778,0.4279,False,True,0.0778,0.778
009,Nissan Juke,Batmobil,urban navigation,none,no_metaphor_detected,0.1628,0.1241,0.1435,False,False,0.1628,0.1241
010,Music,Punch,music,explosion,ok,1.0,0.3753,0.6877,False,True,1.0,0.3753
011,Vaccine resistance,Bridge crossing,risk-taking,bridge crossing,ok,1.0,0.1939,0.5969,False,True,0.1939,1.0
012,Cadburry chocolate,Fresh Milk,dairy and chocolate mixing,none,no_metaphor_detected,0.5447,0.1385,0.3416,False,True,0.5447,0.1385
013,Running,Calory crusher,overcoming adversity,fire,ok,0.2211,0.2085,0.2148,False,False,0.2211,0.2085
014,Brämhults,Carrot,carrot plant growth,none,no_metaphor_detected,0.5752,0.1863,0.3807,False,True,0.5752,0.1863
015,Genetically modified food,Predators,uncontrolled appetite,dragon,ok,0.2996,0.1707,0.2351,False,False,0.1707,0.2996
016,Time,Highway,highway travel,none,no_metaphor_detected,0.8382,0.192,0.5151,False,True,0.8382,0.192
017,Taking risks,Shark-ridden waters,crisis and desperation,sinking ship in storm,ok,0.4352,0.3405,0.3878,False,False,0.3405,0.4352
018,Pencils,Christmas,creativity,explosion or burst of energy,ok,0.3934,0.1086,0.251,False,False,0.3934,0.1086
021,Driving safety,Lion tamer,taming of wild forces,lion taming,ok,0.8056,0.1152,0.4604,False,True,0.1152,0.8056
022,Right path,Highlighter,knowledge,illuminated book,ok,0.3391,0.2662,0.3027,False,False,0.2662,0.3391
023,Cars,City,power and control,keys unlocking access,ok,0.1594,0.1159,0.1377,False,False,0.1159,0.1594
