id,domain_1,domain_2,gold_cosine
001,car,Pollution,0.3909
002,Drunk driving,Car accidents,0.6685
003,Alcohol,Fun,0.3551
004,Air conditioning,Environments,0.2861
005,Juice,Freshness,0.4281
006,Fast food,Adventure,0.3366
007,Nutrition,Sports,0.3153
008,Pasta,Authentic Italian,0.4807
009,Nissan Juke,Batmobil,0.2598
010,Music,Punch,0.2645
011,Vaccine resistance,Bridge crossing,0.0355
012,Cadburry chocolate,Fresh Milk,0.2703
013,Running,Calory crusher,0.2017
014,Brämhults,Carrot,0.3134
015,Genetically modified food,Predators,0.0762
016,Time,Highway,0.1413
017,Taking risks,Shark-ridden waters,0.2280
018,Pencils,Christmas,0.2657
019,Smoking addiction,Maze,0.1929
020,Cigarettes,Money,0.2972
021,Driving safety,Lion tamer,0.1090
022,Right path,Highlighter,0.0900
023,car,City,0.4114
024,Wallet,Travel,0.3116
025,Deadline,Trap,0.2454
026,Coffee,Lightswitch,0.1911
027,Toothpaste,Spotlight,0.1766
028,Jaywalking,Death,0.3011
029,Storing vegetables,Corpse,0.1098
030,Pharmaceutical industry,Money machine,0.1595
031,Healthcare,Coin machine,0.0535
032,Donuts,Loch Ness monster,0.2100
033,Donuts,Arrest your hunger,0.2198
034,Eating chips,Flavour adventure,0.2994
035,Dove cream,Flower,0.3095
036,Drunk driving,Car crash,0.5787
037,Heaphones,Pushing music,0.2410
038,Head without helmet,Cracked egg,0.1875
039,Digital entertainment,Funeral,0.1964
040,Social media,False oasis,0.0914
041,Online validation,Kibble,0.0497
042,Marine pollution,Ash tray,0.1738
043,Aspirin pill,Football helmet,0.1537
044,Coca cola,Fuel,0.3495
045,Sweet tooth,Predator,0.3785
046,Clear vision,Art to reality,0.2612
047,Pencils,Colours of nature,0.2768
048,Hair gel,Lizard's feet,0.1840
049,Ketchup,Fresh tomatoes,0.4254
050,SUV trunk,Dimensional fold,0.1668
051,Ice melting,Missile,0.1352
052,Polar bear,Fracturing iceberg,0.2870
053,Beer,Good idea,0.1231
054,Pillow,Sleep supplements,0.3551
055,Fear,Monsters,0.4350
056,Iron,Dunes in the desert,0.0988
057,Vehicle,Horse,0.4493
058,Ketchup,Bomb,0.3447
059,Ketchup,Flame,0.2384
060,Lego bricks,Planes,0.3525
061,Condom,Life buoy,0.2734
062,Smile,Lightbulbs,0.2036
063,Education,Wood factory,0.2179
064,Lollipop,Apple,0.4812
065,Healthy diet,Preventative medicine,0.1732
066,Refusing organ donation,Trash,0.1679
067,Power drill,Nelson Mandela,0.1404
068,Mayonnaise,Helium balloons,0.3960
069,Coffee,Fuel,0.3877
070,Fries,Cigarettes,0.4177
071,Coffee beans,Heavy eyelids,0.1579
072,Earth,Kitchen prep station,0.0893
073,Harvester,Crop,0.4798
074,Milo coffee,Champion,0.1979
075,Life,Wave to be surfed,0.1384
076,Vodka,Nature,0.2033
077,Coffee,Battery,0.2163
078,Water,Mountains,0.3895
079,Nivea cream,Cactus,0.2596
080,Human skin in the sun,Bread in a toaster,0.1430
081,Blocked nose,Brick wall,0.2395
082,Nyquil,Flock of sleep,0.2836
083,Bottle cap,Oyster,0.2906
084,Bread spreads,Palette,0.1539
085,Parship dating site,Zipper,0.1079
086,Pepsi,Injection,0.3540
087,Mugler perfume,Flower,0.3851
088,Words,Weapon,0.2570
089,Phone,Mouse trap,0.2153
090,Pizza delivery,Paper airplane,0.2772
091,Penguins in the Antarctic,Plastic pollution,0.1075
092,Coca Cola,Power chord,0.1518
093,Holy cross,Bug spray,0.1376
094,Umbrella,Books and smartphones,0.1942
095,Red bull,Battery,0.3456
096,Automotive safety,Valuable gem,0.0208
097,ahesive tape,airplane,0.2397
098,Work boot,Bulldozer,0.1373
099,High heel shoe,Snake,0.2081
100,Social media addiction,Hamster wheel,0.0950
101,Social media feed,Toilet paper,0.1072
