model_slug,k,epsilon,n,mean_pullback,std_pullback,mean_judge,std_judge,mean_consistency,mean_appropriateness,mean_integration,composite
bedrock_eu_anthropic_claude-sonnet-4-6,10,0.0500,25,4.1000,1.5572,8.5406,0.3064,8.1599,8.7266,8.7201,0.9976
bedrock_eu_anthropic_claude-sonnet-4-6,15,0.0500,25,4.1079,1.5685,8.5295,0.3366,8.1599,8.7000,8.7134,0.9976
bedrock_eu_anthropic_claude-sonnet-4-6,10,0.1000,25,3.9788,1.6585,8.5558,0.2663,8.2133,8.7333,8.7001,0.9869
bedrock_eu_anthropic_claude-sonnet-4-6,15,0.1000,25,3.9867,1.6697,8.5448,0.3011,8.2133,8.7067,8.6934,0.9869
bedrock_eu_anthropic_claude-sonnet-4-6,10,0.2000,25,3.8795,1.7142,8.5136,0.3459,8.1599,8.6866,8.6734,0.9743
bedrock_eu_anthropic_claude-sonnet-4-6,15,0.2000,25,3.8874,1.7254,8.5025,0.3721,8.1599,8.6600,8.6668,0.9743
bedrock_eu_anthropic_claude-sonnet-4-6,5,0.0500,25,3.6607,1.2711,8.5409,0.3314,8.1333,8.7266,8.7201,0.9549
bedrock_eu_anthropic_claude-sonnet-4-6,5,0.1000,25,3.6128,1.3301,8.5631,0.2999,8.1866,8.7266,8.7334,0.9518
bedrock_eu_anthropic_claude-sonnet-4-6,5,0.2000,25,3.5388,1.3808,8.5142,0.3731,8.1199,8.6866,8.6934,0.9412
bedrock-mantle_us-east-1_google_gemma-4-31b,15,0.0500,25,3.1851,1.6995,8.3844,0.6329,7.9800,8.5266,8.6334,0.8976
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.0500,25,3.1357,1.7028,8.3638,0.7259,7.9800,8.4800,8.6200,0.8914
bedrock-mantle_us-east-1_google_gemma-4-31b,15,0.1000,25,3.0365,1.7842,8.3310,0.6751,7.9000,8.4866,8.5934,0.8794
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.0500,25,2.8874,1.6929,8.4912,0.4881,8.1534,8.6399,8.6667,0.8761
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1000,25,3.0188,1.7826,8.3060,0.7596,7.9000,8.4400,8.5667,0.8759
bedrock-mantle_us-east-1_google_gemma-4-31b,15,0.2000,25,2.9202,1.7427,8.3579,0.6931,7.9267,8.5066,8.6267,0.8700
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2000,25,2.9070,1.7413,8.3307,0.7754,7.9400,8.4533,8.5867,0.8668
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1000,25,2.8100,1.7377,8.4179,0.5406,8.0467,8.5933,8.6000,0.8634
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2000,25,2.8064,1.7393,8.4224,0.5460,8.0467,8.5933,8.6134,0.8634
openrouter_openai_gpt-5_5,10,0.0500,10,3.2636,1.6818,7.5694,1.9268,7.1998,7.9416,7.5667,0.8482
openrouter_openai_gpt-5_5,15,0.0500,10,3.2636,1.6818,7.5694,1.9268,7.1998,7.9416,7.5667,0.8482
openrouter_openai_gpt-5_5,5,0.0500,10,2.7944,1.6124,8.0695,1.3388,7.7332,8.3916,8.0832,0.8375
openrouter_openai_gpt-5_5,5,0.1000,10,2.7231,1.6322,8.0417,1.3305,7.6666,8.3083,8.1499,0.8286
openrouter_openai_gpt-5_5,10,0.1000,10,3.0258,1.6753,7.5639,1.9245,7.1665,7.8916,7.6334,0.8246
openrouter_openai_gpt-5_5,15,0.1000,10,3.0258,1.6753,7.5639,1.9245,7.1665,7.8916,7.6334,0.8246
openrouter_openai_gpt-5_5,10,0.2000,10,2.4495,1.6293,8.0562,1.4401,7.6999,8.2750,8.1834,0.8030
openrouter_openai_gpt-5_5,15,0.2000,10,2.4495,1.6293,8.0562,1.4401,7.6999,8.2750,8.1834,0.8030
openrouter_openai_gpt-5_5,5,0.2000,10,2.3086,1.5385,8.0229,1.4419,7.6666,8.2250,8.1666,0.7869
