id,round,metaphor,elaboration,pullback_score,clip_score,image_path
015,1,Genetically modified food is a hidden predator on your plate.,"A dinner table scene: a person sits down to eat, unaware that the food on their plate — corn, tomatoes, and soy — conceals a shadowy predatory creature crouching beneath it, claws extended and eyes glowing. The creature lurks invisibly within the meal while the diner reaches forward, oblivious to the hidden danger posed by their seemingly ordinary, wholesome food.",1.792,0.3146181106567383,visual_reasoning/experiment_1/ablations/gepa_pullback/images/015.png
026,1,Coffee switches you on like a lightswitch. ,"A drowsy person slumped at a desk suddenly sits bolt upright, eyes wide and alert, as they lift a steaming coffee cup to their lips. Directly beside them, a giant wall lightswitch dramatically flips from OFF to ON, flooding the room with bright light. Electrical sparks arc from the switch toward the person, visually linking the coffee's effect to the switch's activation.",3.497,0.2476167529821396,visual_reasoning/experiment_1/ablations/gepa_pullback/images/026.png
035,1,Dove cream is a flower.,"A woman stands at a sunlit bathroom vanity, gently applying Dove cream from its distinctly labelled white bottle to her hands. Beside her, a lush blooming flower sits in a vase, its soft petals unfurling. The cream visibly nourishes her dry, rough skin, transforming it to smooth, dewy softness — mirroring how a flower's petals are tender, moisturised, and naturally radiant.",0.954,0.2843722105026245,visual_reasoning/experiment_1/ablations/gepa_pullback/images/035.png
045,1,A sweet tooth is a predator chasing down your smile.,"A dramatic split scene: on one side, a menacing sugar crystal creature with sharp claws prowls forward, stalking a glowing healthy smile — rows of bright white teeth — shown fleeing in the other half. The predator's claws visibly chip and darken the teeth as it catches up, causing cracks and decay. A dentist's chart looms in the background, mapping the chase's damage.",0.994,0.2638397216796875,visual_reasoning/experiment_1/ablations/gepa_pullback/images/045.png
048,1,Strong hair gel has the grip of a lizard's feet.,"A split-scene illustration: on the left, a gecko clings effortlessly upside-down to a glass ceiling, its splayed toe-pads gripping firmly. On the right, a person's styled hair holds a dramatic sculptured shape, each strand locked in place. Between the scenes, magnified close-ups show gecko toe-pad microstructures mirrored by hair-gel molecules gripping individual strands, visually linking both gripping mechanisms.",4.945,0.3280278742313385,visual_reasoning/experiment_1/ablations/gepa_pullback/images/048.png
062,1,Your smile is a row of bright lightbulbs.,"A warmly lit scene where a cheerful person beams a wide, radiant smile directly at a second person nearby. Above the smiling figure's mouth, a neat horizontal row of glowing incandescent lightbulbs shines brilliantly, casting warm yellow light across the room. The second person visibly brightens, their previously dull, shadowed surroundings illuminated by the spreading glow emanating from those bulbs.",2.146,0.2806034982204437,visual_reasoning/experiment_1/ablations/gepa_pullback/images/062.png
088,1,Words can be deadly.,"A speaker at a podium delivers a heated speech, streams of large bold letters and words visibly flowing from their mouth like arrows. The words strike a recipient in the chest, who staggers backward, visibly wounded. Where the letters make contact, dark cracks and bleeding wounds appear on the recipient's skin, illustrating the lethal structural damage words can inflict.",5.259,0.2379036843776703,visual_reasoning/experiment_1/ablations/gepa_pullback/images/088.png
089,1,Your phone is a mouse trap.,"A person sits transfixed at a glowing smartphone, their wrist visibly caught and pinned beneath a giant wooden mousetrap snapping shut around it. The phone displays bright notification icons as bait. Nearby, a mouse peers from a hole, mirroring the trapped human's helpless posture. The room feels enclosed, highlighting the inescapable pull of the device.",2.244,0.29374703764915466,visual_reasoning/experiment_1/ablations/gepa_pullback/images/089.png
098,1,A work boot is a heavy-duty bulldozer.,"A muscular construction worker strides forward in a thick, steel-toed work boot, his foot mid-step crushing through a pile of rubble, bricks, and debris — clearing a path exactly as a bright yellow bulldozer beside him pushes the same rubble with its massive steel blade. Both forces advance together, the boot and the bulldozer mirroring each other's raw, ground-clearing power across a dusty worksite.",0.0,0.2597566843032837,visual_reasoning/experiment_1/ablations/gepa_pullback/images/098.png
122,1,Failing to social distance is an explosion waiting to happen.,"A crowded indoor space where people stand pressed together, completely ignoring safe spacing, forms the silhouette of a lit stick of dynamite with a visibly burning fuse. Nearby, a warning diagram on the wall clearly marks the safe distance zone being violated. Sparks trail from the fuse toward a dramatic explosion cloud looming just ahead, illustrating imminent, inevitable consequence.",1.932,0.25634586811065674,visual_reasoning/experiment_1/ablations/gepa_pullback/images/122.png
