id,clip_cosine
001,0.2813
002,0.2731
003,0.1746
004,0.2951
005,0.2450
006,0.3103
007,0.2648
008,0.2960
009,0.1773
010,0.3145
011,0.2581
012,0.2312
013,0.1743
014,0.2993
015,0.2735
016,0.2211
017,0.2644
018,0.2567
019,0.3061
020,0.2535
021,0.2700
022,0.2423
023,0.1905
024,0.2513
025,0.2636
026,0.2792
027,0.3112
028,0.2263
029,0.3136
030,0.2619
031,0.2666
032,0.2841
033,0.3372
034,0.2552
035,0.2137
036,0.1825
037,0.2105
038,0.2802
039,0.2944
040,0.2623
041,0.2224
042,0.3286
043,0.2660
044,0.1788
045,0.2541
046,0.2503
047,0.2801
048,0.2608
049,0.2255
050,0.2652
051,0.2616
052,0.2887
053,0.2336
054,0.2439
055,0.2507
056,0.2707
057,0.2348
058,0.2923
059,0.2295
060,0.3138
061,0.2344
062,0.2354
063,0.1943
064,0.2500
065,0.2666
066,0.2004
067,0.2319
068,0.3390
069,0.3115
070,0.2710
071,0.3226
072,0.2602
073,0.2956
074,0.4174
075,0.2609
076,0.2183
077,0.2829
078,0.3465
080,0.2524
081,0.2848
082,0.2306
083,0.2515
084,0.2788
085,0.2607
086,0.3502
087,0.2535
089,0.2341
090,0.2857
091,0.3082
092,0.2292
093,0.2576
094,0.2337
095,0.2903
096,0.2518
097,0.2642
098,0.2683
099,0.2526
100,0.2626
101,0.3427
102,0.2871
104,0.1805
105,0.3169
106,0.3118
107,0.2867
108,0.2484
109,0.2313
110,0.3042
111,0.3048
112,0.4109
113,0.2161
114,0.2624
115,0.3718
116,0.3080
117,0.2777
118,0.1822
119,0.3384
120,0.2285
121,0.2823
122,0.2414
123,0.2640
124,0.2997
125,0.3158
126,0.2216
127,0.2485
128,0.2649
129,0.2825
130,0.2228
131,0.2582
132,0.2740
133,0.2875
134,0.2389
135,0.2074
136,0.3551
137,0.2441
138,0.1839
139,0.2282
140,0.2395
141,0.2515
142,0.2028
143,0.2599
144,0.2241
145,0.2302
146,0.2262
147,0.2484
148,0.2597
149,0.2940
150,0.2096
151,0.2645
152,0.2653
153,0.1943
154,0.2383
155,0.2886
156,0.3412
157,0.2144
158,0.2271
159,0.1951
160,0.1534
161,0.1931
162,0.2742
163,0.3475
164,0.2716
165,0.1920
166,0.2169
167,0.2262
168,0.2393
169,0.2443
170,0.2398
171,0.2219
172,0.2773
173,0.2511
174,0.2379
175,0.2353
176,0.2162
177,0.1561
178,0.2332
179,0.2081
180,0.2192
181,0.2298
182,0.2165
183,0.3265
184,0.2176
185,0.2253
186,0.1846
187,0.2527
189,0.2702
190,0.2703
191,0.2742
192,0.1965
193,0.2029
194,0.2788
195,0.3014
196,0.2255
197,0.1966
198,0.2175
199,0.2556
200,0.2329
201,0.2831
202,0.2449
203,0.2442
204,0.2094
205,0.2897
206,0.2738
207,0.2430
208,0.2813
209,0.2893
210,0.2743
211,0.2157
212,0.2330
213,0.2337
214,0.2353
215,0.2571
216,0.2886
217,0.2677
218,0.2615
219,0.2237
220,0.2060
221,0.3041
222,0.2135
223,0.2438
224,0.2035
225,0.2451
226,0.2562
227,0.2335
228,0.2526
229,0.2196
230,0.2241
231,0.2493
232,0.1964
233,0.2270
234,0.2776
235,0.2140
236,0.2065
237,0.2159
238,0.2278
239,0.2684
240,0.2401
241,0.1864
242,0.3048
243,0.2006
244,0.1950
245,0.2260
246,0.2851
247,0.2447
248,0.1799
249,0.2203
250,0.2309
