id,clip_cosine
001,0.3109
002,0.2848
003,0.2215
004,0.2488
005,0.2832
006,0.2733
007,0.1804
008,0.3253
009,0.3445
010,0.3056
011,0.3471
012,0.3263
013,0.3096
014,0.2822
015,0.2538
016,0.2597
017,0.3692
018,0.3464
019,0.3109
020,0.2780
021,0.2468
022,0.2055
023,0.3251
024,0.2922
025,0.2352
026,0.3121
027,0.3232
028,0.2886
029,0.1955
030,0.2412
031,0.2586
032,0.2825
033,0.3767
034,0.2697
035,0.3019
036,0.2969
037,0.2389
038,0.2788
039,0.2888
040,0.2966
041,0.3183
042,0.2562
043,0.3803
044,0.3123
045,0.2364
046,0.2818
047,0.3213
048,0.3122
049,0.3167
050,0.2193
051,0.2953
052,0.2710
053,0.2309
054,0.3090
055,0.2867
056,0.3102
057,0.2094
058,0.1837
059,0.2777
060,0.3208
061,0.3252
062,0.2527
063,0.3195
064,0.2904
065,0.2910
066,0.2874
067,0.2392
068,0.2998
069,0.3237
070,0.2870
071,0.2205
072,0.2209
073,0.1216
074,0.2275
075,0.2439
076,0.3325
077,0.3179
078,0.2230
079,0.3867
080,0.2964
081,0.3776
082,0.2704
083,0.2453
084,0.1626
085,0.3179
086,0.3184
087,0.2975
088,0.2923
089,0.3275
090,0.3186
091,0.3263
092,0.3177
093,0.2712
094,0.3609
095,0.3052
096,0.2290
097,0.2054
098,0.3237
099,0.3052
100,0.2997
101,0.3277
102,0.3014
103,0.2776
104,0.2518
105,0.2834
106,0.3886
107,0.3506
108,0.3592
109,0.2939
110,0.3038
111,0.2758
112,0.3671
113,0.3553
114,0.3779
115,0.2998
116,0.2365
117,0.2989
118,0.2715
119,0.2458
120,0.2729
121,0.3142
122,0.2115
123,0.2967
124,0.2414
125,0.3207
