id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
001,Cars,Pollution,environmental pollution,smoke,ok,0.8775,0.32,0.5987,False,True,0.8775,0.32
002,Drunk driving,Car accidents,energy or impact,splashing water,ok,0.3029,0.2437,0.2733,False,False,0.2437,0.3029
003,Alcohol,Fun,spiritual awakening,celestial realm,ok,0.3762,0.2042,0.2902,False,False,0.3762,0.2042
004,Air conditioning,Environments,emptiness,desert landscape,ok,0.3296,0.2241,0.2769,False,False,0.2241,0.3296
005,Juice,Freshness,transformation,apple juice extraction,ok,0.5168,0.1651,0.341,False,True,0.1651,0.5168
006,Fast food,Adventure,life journey,passage through gates,ok,0.5068,0.0562,0.2815,False,True,0.5068,0.0562
007,Nutrition,Sports,fitness discipline,temptation,ok,0.4998,0.2725,0.3861,False,True,0.4998,0.2725
008,Pasta,Authentic Italian,longing,separation by distance,ok,0.2188,0.0751,0.147,False,False,0.2188,0.0751
009,Nissan Juke,Batmobil,luxury,none,no_metaphor_detected,0.2144,0.1928,0.2036,False,False,0.1928,0.2144
010,Music,Punch,creativity,electrical energy,ok,0.5418,0.1869,0.3644,False,True,0.5418,0.1869
011,Vaccine resistance,Bridge crossing,overcoming obstacles,bridge,ok,0.6621,0.1845,0.4233,False,True,0.1845,0.6621
012,Cadburry chocolate,Fresh Milk,coffee preparation,none,no_metaphor_detected,0.2611,0.1648,0.2129,False,False,0.2611,0.1648
013,Running,Calory crusher,creativity,machinery,ok,0.3657,0.2465,0.3061,False,False,0.2465,0.3657
014,Brämhults,Carrot,growth,plants,ok,0.4069,0.1956,0.3013,False,False,0.1956,0.4069
015,Genetically modified food,Predators,refined dining,alien predator,ok,0.6643,0.2301,0.4472,False,True,0.2301,0.6643
016,Time,Highway,life's journey,road travel,ok,0.6252,0.2435,0.4344,False,True,0.2435,0.6252
017,Taking risks,Shark-ridden waters,relative difficulty,surfing and sailing,ok,0.4567,0.1941,0.3254,False,True,0.1941,0.4567
018,Pencils,Christmas,ambition,stars,ok,0.3244,0.2386,0.2815,False,False,0.2386,0.3244
019,Smoking addiction,Maze,navigating uncertainty,walking through mist,ok,0.2706,0.0228,0.1467,False,False,0.0228,0.2706
020,Cigarettes,Money,financial excess,garbage,ok,0.3754,0.2575,0.3165,False,False,0.3754,0.2575
021,Driving safety,Lion tamer,mastery of power,animal taming,ok,0.6496,0.1207,0.3852,False,True,0.1207,0.6496
022,Right path,Highlighter,purpose,light,ok,0.4047,0.2556,0.3302,False,False,0.2556,0.4047
023,Cars,City,opportunity,key and door,ok,0.3257,0.2581,0.2919,False,False,0.2581,0.3257
024,Wallet,Travel,access,locked door,ok,0.3733,0.3105,0.3419,False,False,0.3105,0.3733
025,Deadline,Trap,mortality,skull,ok,0.2943,0.219,0.2566,False,False,0.219,0.2943
026,Coffee,Lightswitch,creative inspiration,coffee,ok,1.0,0.1827,0.5914,False,True,0.1827,1.0
027,Toothpaste,Spotlight,happiness,light,ok,0.5318,0.3151,0.4234,False,True,0.3151,0.5318
028,Jaywalking,Death,loneliness,urban isolation,ok,0.4122,0.1937,0.303,False,False,0.4122,0.1937
029,Storing vegetables,Corpse,agricultural industrialization,factory processing,ok,0.2101,0.0949,0.1525,False,False,0.2101,0.0949
030,Pharmaceutical industry,Money machine,wealth generation,industrial machinery,ok,0.3887,0.3797,0.3842,False,False,0.3887,0.3797
031,Healthcare,Coin machine,technology,living organism,ok,0.2897,0.2135,0.2516,False,False,0.2897,0.2135
032,Donuts,Loch Ness monster,human insignificance,vastness of nature,ok,0.3014,0.1162,0.2088,False,False,0.1162,0.3014
033,Donuts,Arrest your hunger,law enforcement,donuts,ok,1.0,0.108,0.554,False,True,0.108,1.0
034,Eating chips,Flavour adventure,ambition,volcano,ok,0.3026,0.2769,0.2898,False,False,0.2769,0.3026
035,Dove cream,Flower,rose,none,no_metaphor_detected,0.58,0.1605,0.3703,False,True,0.58,0.1605
036,Drunk driving,Car crash,culinary skill,fire,ok,0.238,0.1808,0.2094,False,False,0.1808,0.238
037,Heaphones,Pushing music,journey through difficulty,tunnel,ok,0.2251,0.1762,0.2007,False,False,0.1762,0.2251
