id,round,pullback_score,extracted_target,extracted_source,gold_domains,concepts_matched,n_gold_concepts,coverage,stop_reason,image_path
003,1,2.478,purity,crystal glass of water,alcohol | fun,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k1/003.png
003,2,1.191,social excitement,alcohol,alcohol | fun,1,2,0.167,in_progress,visual_reasoning/experiment_1/images/k2/003.png
003,3,1.126,celebration,premium spirits,alcohol | fun,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k3/003.png
003,4,1.411,celebration,vodka bottle,alcohol | fun,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k4/003.png
003,5,2.802,party euphoria,vodka,alcohol | fun,1,2,0.5,in_progress,visual_reasoning/experiment_1/images/k5/003.png
003,6,0.93,party euphoria,electric energy,alcohol | fun,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k6/003.png
003,7,1.817,vodka,electric energy,alcohol | fun,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k7/003.png
003,8,3.751,vodka celebration,electric energy,alcohol | fun,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k8/003.png
003,9,3.675,happiness,liquid being poured,alcohol | fun,0,2,0.5,in_progress,visual_reasoning/experiment_1/images/k9/003.png
003,10,2.844,euphoria,bottle explosion,alcohol | fun,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k10/003.png
007,1,1.858,athletic nutrition,sports competition,nutrition | sports,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k1/007.png
007,2,1.58,sports nutrition,athletic competition,nutrition | sports,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k2/007.png
007,3,3.015,fitness meal preparation,extreme sports racing,nutrition | sports,0,2,0.429,flattened,visual_reasoning/experiment_1/images/k3/007.png
007,4,1.423,healthy diet,athletic competition,nutrition | sports,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k4/007.png
007,5,1.207,healthy eating,athletic competition,nutrition | sports,2,2,0.143,flattened,visual_reasoning/experiment_1/images/k5/007.png
007,6,1.209,athletic performance,meat consumption,nutrition | sports,1,2,0.143,flattened,visual_reasoning/experiment_1/images/k6/007.png
