id,clip_cosine
001,0.2545
002,0.3055
003,0.2540
004,0.2813
005,0.2418
006,0.2996
007,0.2460
008,0.3494
009,0.3203
010,0.2625
011,0.2693
012,0.2804
013,0.2377
014,0.2285
015,0.2673
016,0.2321
017,0.2306
018,0.2883
019,0.2896
020,0.2684
021,0.2726
022,0.2487
023,0.2229
024,0.2660
025,0.2340
026,0.2758
027,0.3041
028,0.2175
029,0.2913
030,0.3042
031,0.2058
032,0.3462
033,0.2598
034,0.3174
035,0.2170
036,0.2221
037,0.3128
038,0.2797
039,0.2477
040,0.2017
041,0.2168
042,0.3067
043,0.3825
044,0.2427
045,0.2946
046,0.2640
047,0.3163
048,0.2895
049,0.2303
050,0.2726
051,0.1833
052,0.2718
053,0.2476
054,0.2782
055,0.2335
056,0.3317
057,0.1658
058,0.2417
059,0.2745
060,0.2468
061,0.2137
062,0.2303
063,0.3175
064,0.3010
065,0.2910
067,0.2851
068,0.2861
069,0.3065
070,0.2821
071,0.2690
072,0.2766
073,0.2386
074,0.3714
075,0.2652
076,0.3111
077,0.2795
078,0.2616
079,0.3221
080,0.2565
081,0.3029
082,0.2689
083,0.2424
084,0.3041
085,0.2371
086,0.3177
087,0.2675
088,0.2395
089,0.2618
090,0.3172
091,0.3137
092,0.2641
093,0.3168
094,0.2670
095,0.2901
096,0.3127
097,0.2836
098,0.3120
099,0.3098
100,0.3042
101,0.2143
102,0.2249
103,0.3314
104,0.1855
105,0.2930
106,0.2010
107,0.3160
108,0.2808
109,0.2708
110,0.3344
111,0.3371
112,0.4217
113,0.2319
114,0.2511
115,0.3074
116,0.3117
117,0.3020
118,0.2450
119,0.3210
120,0.2192
121,0.3443
122,0.2132
123,0.2184
124,0.2931
125,0.3185
126,0.2705
127,0.2337
128,0.2471
129,0.2837
130,0.3001
131,0.2830
132,0.2800
133,0.2968
134,0.2100
135,0.2261
136,0.3110
137,0.2649
138,0.2064
139,0.2228
140,0.2973
141,0.2684
142,0.2180
143,0.2521
144,0.2127
145,0.2593
146,0.2367
147,0.2420
148,0.2689
149,0.2837
150,0.1492
151,0.2218
153,0.2055
154,0.3038
155,0.2796
157,0.2209
158,0.2176
159,0.2725
160,0.2347
161,0.2262
162,0.2645
163,0.3338
164,0.2288
166,0.2561
167,0.2000
168,0.2667
169,0.2275
170,0.2603
171,0.2261
172,0.2352
173,0.2647
174,0.2327
175,0.2581
176,0.2666
177,0.2232
178,0.2750
179,0.2741
180,0.2433
181,0.2417
182,0.2397
183,0.3421
184,0.2133
185,0.2017
186,0.2195
187,0.2702
188,0.2439
189,0.2869
190,0.2517
191,0.2674
192,0.2499
193,0.2195
194,0.2462
195,0.3079
196,0.2334
197,0.1637
198,0.2353
199,0.1770
200,0.2481
201,0.2855
202,0.2508
203,0.2712
204,0.2235
205,0.2682
206,0.2520
207,0.2482
208,0.2881
209,0.2920
210,0.2949
211,0.2476
212,0.2391
213,0.2501
214,0.2725
215,0.2702
216,0.2900
217,0.2866
218,0.2799
219,0.1978
220,0.1963
221,0.2059
222,0.2389
223,0.2351
224,0.2612
225,0.1821
226,0.2544
227,0.2449
228,0.2409
229,0.2390
230,0.2804
231,0.2935
232,0.3054
233,0.2564
234,0.2341
235,0.2178
236,0.2512
237,0.2175
238,0.2620
239,0.2693
240,0.2158
242,0.2955
243,0.1922
244,0.2010
245,0.2247
246,0.3004
247,0.2088
248,0.2631
249,0.2606
250,0.2754
