id,round,pullback_score,extracted_target,extracted_source,gold_domains,concepts_matched,n_gold_concepts,coverage,stop_reason,image_path
015,1,2.402,food addiction,monster,genetically modified food | predator,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k1/015.png
015,2,1.006,food addiction,demonic serpent,genetically modified food | predator,0,2,0.125,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k2/015.png
015,3,2.879,food addiction,serpent,genetically modified food | predator,0,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k3/015.png
015,4,2.084,hunger cycle,snake,genetically modified food | predator,0,2,0.375,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k4/015.png
015,5,1.371,food addiction,vicious cycle,genetically modified food | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k5/015.png
015,6,1.717,food addiction cycle,constricting snake,genetically modified food | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k6/015.png
015,7,2.559,food addiction,constricting snake,genetically modified food | predator,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k7/015.png
015,8,1.779,food addiction,snake,genetically modified food | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k8/015.png
015,9,2.062,food addiction,constricting snake,genetically modified food | predator,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k9/015.png
015,10,1.612,junk food addiction,constricting serpent,genetically modified food | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k10/015.png
026,1,3.322,coffee,fire,coffee | lightswitch,1,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k1/026.png
026,2,1.341,coffee,sunshine,coffee | lightswitch,1,2,0.143,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k2/026.png
026,3,1.029,caffeine energy boost,hot coffee,coffee | lightswitch,1,2,0.143,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k3/026.png
026,4,4.311,caffeine boost,magic transformation,coffee | lightswitch,1,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k4/026.png
026,5,1.706,fatigue,coffee,coffee | lightswitch,1,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k5/026.png
026,6,3.297,coffee's energizing effect,storm transforming into sunshine,coffee | lightswitch,1,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k6/026.png
026,7,2.364,coffee's mood effect,weather transformation,coffee | lightswitch,1,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k7/026.png
026,8,5.55,caffeine boost,magical energy,coffee | lightswitch,1,2,0.667,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k8/026.png
026,9,4.025,coffee energization,electric charge,coffee | lightswitch,1,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k9/026.png
026,10,3.012,caffeine boost,fire,coffee | lightswitch,1,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k10/026.png
035,1,1.774,purity,white rose,dove cream | flower,1,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k1/035.png
035,2,3.208,skin nourishment,honey dripping into flower,dove cream | flower,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k2/035.png
035,3,5.04,human potential,blooming flower,dove cream | flower,1,2,0.857,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k3/035.png
035,4,1.803,spiritual awakening,blooming lotus,dove cream | flower,1,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k4/035.png
035,5,5.014,divine blessing,liquid gold,dove cream | flower,0,2,0.714,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k5/035.png
035,6,3.218,divine grace,radiant light,dove cream | flower,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k6/035.png
035,7,3.164,divine grace,angelic light,dove cream | flower,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k7/035.png
035,8,3.349,spiritual redemption,divine healing light,dove cream | flower,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k8/035.png
035,9,1.762,divine grace,angelic light,dove cream | flower,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k9/035.png
035,10,3.048,divine grace,light from above,dove cream | flower,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k10/035.png
045,1,3.817,temptation,candy wonderland,sweet tooth | predator,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k1/045.png
045,2,2.588,fatal attraction,moth drawn to flame,sweet tooth | predator,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k2/045.png
045,3,1.212,fatal attraction,moth drawn to flame,sweet tooth | predator,0,2,0.143,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k3/045.png
045,4,4.794,drug addiction,moth drawn to deadly light,sweet tooth | predator,0,2,0.714,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k4/045.png
045,5,4.317,self-destructive temptation,moth to flame,sweet tooth | predator,0,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k5/045.png
045,6,3.285,fatal attraction,predatory flower luring moth,sweet tooth | predator,0,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k6/045.png
045,7,1.744,deceptive allure,predatory flower,sweet tooth | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k7/045.png
045,8,1.249,fatal attraction,moth drawn to deadly flower,sweet tooth | predator,0,2,0.143,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k8/045.png
045,9,1.816,fatal attraction,flower,sweet tooth | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k9/045.png
045,10,2.0,mortality,sunflower,sweet tooth | predator,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k10/045.png
048,1,1.828,resilience,gecko foot,hair gel | lizard foot,1,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k1/048.png
048,2,1.9,gecko adhesion,electricity,hair gel | lizard foot,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k2/048.png
048,3,4.385,resilience,gecko clinging in rain,hair gel | lizard foot,0,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k3/048.png
048,4,2.995,resilience,gecko in storm,hair gel | lizard foot,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k4/048.png
048,5,0.0,gecko,none,hair gel | lizard foot,1,2,0.0,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k5/048.png
048,6,1.671,resilience,gecko gripping surface,hair gel | lizard foot,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k6/048.png
048,7,4.491,crisis resilience,gecko climbing wet wall,hair gel | lizard foot,0,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k7/048.png
048,8,1.64,resilience,storm,hair gel | lizard foot,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k8/048.png
048,9,4.895,individual resilience,lizard clinging against waves,hair gel | lizard foot,0,2,0.714,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k9/048.png
048,10,4.192,resilience,shield against waves,hair gel | lizard foot,0,2,0.571,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k10/048.png
062,1,1.865,smile,fire,smile | lightbulb,1,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k1/062.png
062,2,3.462,inner inspiration,light bulb,smile | lightbulb,1,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k2/062.png
062,3,1.423,creative inspiration,exploding light bulb,smile | lightbulb,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k3/062.png
062,4,1.604,creative inspiration,exploding light bulb,smile | lightbulb,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k4/062.png
062,5,4.631,creative inspiration,electric light bulb,smile | lightbulb,1,2,0.714,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k5/062.png
062,6,1.875,creative inspiration,explosion,smile | lightbulb,0,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k6/062.png
062,7,1.14,creative inspiration,light bulb,smile | lightbulb,1,2,0.143,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k7/062.png
062,8,2.539,creative inspiration,light bulb,smile | lightbulb,1,2,0.286,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k8/062.png
062,9,3.184,creative inspiration,explosion,smile | lightbulb,0,2,0.429,max_rounds,multimodal_analogy_generation/ablations/results/no_domain_guidance_no_metaphor/images/k9/062.png
