version,pair_1,pair_2,pair_3,pair_4,pair_5
p1_b1,085,236,124,244,137
p1_b2,150,019,008,083,059
p1_b3,172,217,159,095,205
p1_b4,214,060,161,045,009
p1_b5,206,021,057,155,235
p1_b6,209,063,136,011,245
p1_b7,052,151,018,051,200
p1_b8,088,079,246,047,219
p1_b9,218,078,016,181,207
p1_b10,069,154,132,092,139
p1_b11,131,116,129,186,058
p1_b12,003,208,242,025,099
p1_b13,125,053,203,225,171
p1_b14,097,141,028,020,226
p1_b15,189,228,084,104,212
p1_b16,062,130,098,071,247
p1_b17,105,145,135,169,178
p1_b18,048,027,176,152,224
p1_b19,082,102,192,122,202
p1_b20,091,037,233,138,068
p1_b21,221,010,044,232,121
p1_b22,120,162,153,249,170
p1_b23,227,147,049,064,216
p1_b24,174,194,164,158,030
p1_b25,100,096,015,101,211
p1_b26,146,110,087,070,111
p1_b27,115,056,114,142,250
p1_b28,204,034,229,190,093
p1_b29,076,199,026,065,113
p1_b30,094,177,029,117,046
p1_b31,173,144,017,086,109
p1_b32,112,033,119,231,239
p1_b33,107,230,054,215,108
p1_b34,234,055,007,090,195
p1_b35,140,073,133,240,213
p1_b36,067,180,248,201,160
p1_b37,077,072,032,013,014
p1_b38,134,198,031,175,220
p1_b39,035,237,050,074,081
p1_b40,089,238,012,039,210
p2_b1,095,115,199,210,159
p2_b2,113,212,200,169,092
p2_b3,124,142,053,108,031
p2_b4,009,058,211,121,070
p2_b5,170,215,020,096,015
p2_b6,087,242,008,039,234
p2_b7,101,154,067,047,072
p2_b8,049,063,099,077,054
p2_b9,059,240,010,239,044
p2_b10,203,056,119,237,178
p2_b11,155,085,248,060,097
p2_b12,180,230,094,122,120
p2_b13,109,057,035,091,228
p2_b14,046,226,132,236,151
p2_b15,214,032,016,084,100
p2_b16,029,086,083,139,105
p2_b17,147,181,055,175,160
p2_b18,093,186,144,052,194
p2_b19,158,152,112,238,161
p2_b20,114,110,207,051,216
p2_b21,205,172,003,171,137
p2_b22,013,245,206,079,201
p2_b23,069,030,233,247,117
p2_b24,017,220,133,088,102
p2_b25,012,018,089,135,192
p2_b26,176,221,028,173,145
p2_b27,209,062,204,050,140
p2_b28,198,065,232,037,229
p2_b29,129,217,034,019,146
p2_b30,131,134,111,136,224
p2_b31,033,064,130,202,081
p2_b32,150,190,189,048,249
p2_b33,250,153,090,078,162
p2_b34,219,104,014,026,246
p2_b35,021,208,027,007,073
p2_b36,227,076,177,195,011
p2_b37,107,025,074,082,045
p2_b38,141,164,138,116,213
p2_b39,218,125,098,231,068
p2_b40,225,235,244,174,071
