model_slug,k,epsilon,n_metaphors,mean_pullback,mean_judge_overall,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,25,3.194,8.364,7.958,8.507,8.611,8.500,7.958,8.616
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,25,3.019,8.306,7.875,8.472,8.556,8.464,7.806,8.630
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,25,2.907,8.331,7.901,8.479,8.577,8.485,7.847,8.630
bedrock-mantle_us-east-1_google_gemma-4-31b,15,0.05,25,3.306,8.420,8.000,8.575,8.639,8.486,7.944,8.781
bedrock-mantle_us-east-1_google_gemma-4-31b,15,0.1,25,3.099,8.367,7.917,8.542,8.597,8.465,7.792,8.795
bedrock-mantle_us-east-1_google_gemma-4-31b,15,0.2,25,2.920,8.358,7.887,8.500,8.620,8.493,7.861,8.658
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,25,2.887,8.491,8.141,8.632,8.662,8.529,8.153,8.753
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,25,2.810,8.418,8.028,8.592,8.592,8.485,7.958,8.767
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,25,2.806,8.422,8.028,8.592,8.606,8.500,7.958,8.767
bedrock_eu_anthropic_claude-sonnet-4-6,10,0.05,25,4.100,8.541,8.162,8.739,8.719,8.493,8.292,8.813
bedrock_eu_anthropic_claude-sonnet-4-6,10,0.1,25,3.979,8.556,8.216,8.750,8.715,8.522,8.319,8.813
bedrock_eu_anthropic_claude-sonnet-4-6,10,0.2,25,3.880,8.514,8.162,8.700,8.688,8.486,8.208,8.827
bedrock_eu_anthropic_claude-sonnet-4-6,15,0.05,25,4.108,8.529,8.162,8.711,8.712,8.486,8.278,8.800
bedrock_eu_anthropic_claude-sonnet-4-6,15,0.1,25,3.987,8.545,8.216,8.721,8.708,8.514,8.306,8.800
bedrock_eu_anthropic_claude-sonnet-4-6,15,0.2,25,3.887,8.502,8.162,8.671,8.681,8.478,8.194,8.813
bedrock_eu_anthropic_claude-sonnet-4-6,5,0.05,25,3.661,8.541,8.164,8.743,8.736,8.574,8.208,8.840
bedrock_eu_anthropic_claude-sonnet-4-6,5,0.1,25,3.613,8.563,8.219,8.743,8.750,8.588,8.264,8.840
bedrock_eu_anthropic_claude-sonnet-4-6,5,0.2,25,3.539,8.514,8.151,8.700,8.708,8.559,8.153,8.827
openrouter_openai_gpt-5_5,10,0.05,10,3.264,7.569,7.172,7.875,7.482,7.250,6.963,8.233
openrouter_openai_gpt-5_5,10,0.1,10,3.026,7.564,7.138,7.821,7.554,7.304,6.926,8.200
openrouter_openai_gpt-5_5,10,0.2,10,2.450,8.056,7.690,8.232,8.130,7.778,7.407,8.767
openrouter_openai_gpt-5_5,15,0.05,10,3.264,7.569,7.172,7.875,7.482,7.250,6.963,8.233
openrouter_openai_gpt-5_5,15,0.1,10,3.026,7.564,7.138,7.821,7.554,7.304,6.926,8.200
openrouter_openai_gpt-5_5,15,0.2,10,2.450,8.056,7.690,8.232,8.130,7.778,7.407,8.767
openrouter_openai_gpt-5_5,5,0.05,10,2.794,8.069,7.724,8.357,8.036,7.750,7.519,8.767
openrouter_openai_gpt-5_5,5,0.1,10,2.723,8.042,7.655,8.268,8.107,7.804,7.370,8.767
openrouter_openai_gpt-5_5,5,0.2,10,2.309,8.023,7.655,8.179,8.111,7.778,7.296,8.767
