id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
001,Cars,Pollution,destruction,fire,ok,0.472,0.3404,0.4062,False,True,0.472,0.3404
002,Drunk driving,Car accidents,alcohol addiction,car crash,ok,0.8186,0.5755,0.697,True,True,0.5755,0.8186
003,Alcohol,Fun,clarity,sparkling water,ok,0.4693,0.2459,0.3576,False,True,0.2459,0.4693
004,Air conditioning,Environments,climate control,extreme temperature extremes,ok,0.5859,0.2066,0.3962,False,True,0.5859,0.2066
005,Juice,Freshness,apple juice,none,no_metaphor_detected,0.7767,0.1931,0.4849,False,True,0.7767,0.1931
006,Fast food,Adventure,exploration and discovery,corporate commercialism,ok,0.6162,0.4065,0.5113,False,True,0.6162,0.4065
007,Nutrition,Sports,athletic achievement,disciplined nutrition,ok,0.722,0.6404,0.6812,True,True,0.6404,0.722
008,Pasta,Authentic Italian,italian cuisine,none,no_metaphor_detected,0.6711,0.2292,0.4502,False,True,0.6711,0.2292
009,Nissan Juke,Batmobil,luxury automotive aspirations,beacon in darkness,ok,0.356,0.2222,0.2891,False,False,0.356,0.2222
010,Music,Punch,music,explosion,ok,1.0,0.3753,0.6877,False,True,1.0,0.3753
011,Vaccine resistance,Bridge crossing,life choices,bridges,ok,0.7351,0.0111,0.3731,False,True,0.0111,0.7351
012,Cadburry chocolate,Fresh Milk,harmony,cream and chocolate mixing,ok,0.5133,0.1331,0.3232,False,True,0.1331,0.5133
013,Running,Calory crusher,high-intensity exercise,fire,ok,0.3206,0.2085,0.2646,False,False,0.3206,0.2085
014,Brämhults,Carrot,growth,none,no_metaphor_detected,0.299,0.1863,0.2427,False,False,0.299,0.1863
015,Genetically modified food,Predators,health,dragon,ok,0.2996,0.1305,0.215,False,False,0.1305,0.2996
016,Time,Highway,time progression,journey,ok,0.5371,0.428,0.4826,False,True,0.5371,0.428
017,Taking risks,Shark-ridden waters,extreme vulnerability,predatory siege,ok,0.4873,0.3119,0.3996,False,True,0.4873,0.3119
018,Pencils,Christmas,creativity,colored pencils,ok,0.8968,0.3299,0.6133,False,True,0.3299,0.8968
019,Smoking addiction,Maze,nicotine addiction,cigarette entrapment,ok,0.8782,0.2045,0.5414,False,True,0.8782,0.2045
020,Cigarettes,Money,financial loss,burning money,ok,0.4052,0.4005,0.4028,False,False,0.4052,0.4005
021,Driving safety,Lion tamer,confronting danger,lion taming,ok,0.8056,0.3421,0.5738,False,True,0.3421,0.8056
022,Right path,Highlighter,pursuit of knowledge,light,ok,0.4047,0.2803,0.3425,False,False,0.2803,0.4047
023,Cars,City,hope,lantern,ok,0.2542,0.1688,0.2115,False,False,0.1688,0.2542
024,Wallet,Travel,travel opportunity,financial wealth,ok,0.7258,0.3828,0.5543,False,True,0.7258,0.3828
025,Deadline,Trap,time pressure,mechanical machinery,ok,0.5217,0.1247,0.3232,False,True,0.5217,0.1247
026,Coffee,Lightswitch,inner joy,glowing warmth,ok,0.2773,0.2718,0.2745,False,False,0.2773,0.2718
