id,round,metaphor,elaboration,pullback_score,clip_score,image_path
015,1,Genetically modified food is a hidden predator on your plate.,"A dinner plate holds a neatly arranged meal — vegetables and grains glowing with an eerie green bioluminescent light — while beneath the food, a sleek predator (a camouflaged leopard or serpent) coils silently, its body seamlessly blending into the plate's surface, claws or fangs just visible beneath the food, hinting at concealed danger within an ordinary meal.",2.609,0.3036598563194275,visual_reasoning/experiment_1/ablations/gepa_clip/images/015.png
026,1,Coffee switches you on like a lightswitch. ,"A large electric light switch mounted on a human torso, mid-flip to the ON position. A steaming coffee cup serves as the switch lever, its dark liquid flowing through glowing wires into the body, illuminating the figure from within with bright yellow-white light. The switch panel clearly shows OFF darkening to ON glowing.",3.597,0.3089752793312073,visual_reasoning/experiment_1/ablations/gepa_clip/images/026.png
035,1,Dove cream is a flower.,"A white Dove cream jar sits at the center of a blooming flower, its lid open like a blossoming petal. Creamy white lotion flows outward as soft petals unfurling from the jar's rim, each petal shaped like a moisturiser dollop. Dewdrops glisten on the petals, evoking skin hydration, set against a lush green botanical background.",1.719,0.3533647060394287,visual_reasoning/experiment_1/ablations/gepa_clip/images/035.png
045,1,A sweet tooth is a predator chasing down your smile.,"A snarling predator—a sleek jaguar with sugar-crystal fangs—lunges toward a giant, glowing human smile floating in a dark forest. The smile's white teeth are cracking under the jaguar's claws, enamel chipping away like broken porcelain. Candy wrappers and sugar cubes trail behind the beast, visually linking sweetness to the hunt destroying the smile.",1.621,0.2998325526714325,visual_reasoning/experiment_1/ablations/gepa_clip/images/045.png
048,1,Strong hair gel has the grip of a lizard's feet.,"A close-up split scene unified in one image: a gecko's foot with microscopic adhesive toe pads grips a vertical glass surface, while strands of human hair are locked in the same rigid, clinging grip by thick glossy hair gel. The gel's texture visually mirrors the toe pads—sticky, structured, unyielding—holding every hair strand immovably in place.",1.031,0.2950368821620941,visual_reasoning/experiment_1/ablations/gepa_clip/images/048.png
062,1,Your smile is a row of bright lightbulbs.,"A person's open smile reveals a row of glowing incandescent lightbulbs in place of teeth, each bulb radiating warm golden light outward. The bulbs are evenly spaced like a perfect dental row, their filaments visibly bright, illuminating the face from within. The warm glow spreads across the person's cheeks, making the entire expression radiate light.",1.5,0.24479731917381287,visual_reasoning/experiment_1/ablations/gepa_clip/images/062.png
089,1,Your phone is a mouse trap.,"A giant steel mouse trap with a glowing smartphone screen as its bait platform, cheese replaced by colorful app icons. A human hand reaches eagerly toward the screen while the metal snap bar looms overhead, poised to slam down. The trap's spring mechanism is visibly taut, ready to catch the user.",1.867,0.21334640681743622,visual_reasoning/experiment_1/ablations/gepa_clip/images/089.png
098,1,A work boot is a heavy-duty bulldozer.,"A giant leather work boot with a thick rubber sole pushes through a construction site like a bulldozer, its steel toe acting as the metal blade, churning and shoving a massive mound of earth and rubble ahead of it. Lug-tread patterns on the sole mirror bulldozer tracks pressed deep into the muddy ground.",3.758,0.3148882985115051,visual_reasoning/experiment_1/ablations/gepa_clip/images/098.png
122,1,Failing to social distance is an explosion waiting to happen.,"A crowded public space where tightly packed people form the shape of a lit bomb, their compressed bodies merging into a bulging black iron sphere with a glowing fuse at the top. Sparks fly from the fuse, and the dense crowd radiates outward in explosive red-orange blast lines, visually equating human proximity with imminent detonation.",1.93,0.2763926684856415,visual_reasoning/experiment_1/ablations/gepa_clip/images/122.png
125,1,The canvas sails of a galleon ship are a swarm of vibrant butterflies.,"A tall galleon ship sails on open ocean, its canvas sails transformed into clusters of enormous, vividly coloured butterflies — orange, cobalt, and gold — wings spread wide and catching the wind exactly as sails would. The butterflies' outstretched wings billow with air, propelling the wooden hull forward, their collective form unmistakably filling each mast's rigging.",0.947,0.34836238622665405,visual_reasoning/experiment_1/ablations/gepa_clip/images/125.png
