id,pullback_score,num_matched,coverage,chain_length,target_domain,source_domain
001,2.593,3,0.5,2,destruction,fire
002,3.949,4,0.667,2,alcohol addiction,car crash
003,1.757,2,0.333,1,clarity,sparkling water
004,1.567,2,0.333,1,climate control,extreme temperature extremes
005,0.0,0,0.0,0,apple juice,none
006,2.854,3,0.429,1,exploration and discovery,corporate commercialism
007,2.233,2,0.333,1,athletic achievement,disciplined nutrition
008,0.0,0,0.0,0,italian cuisine,none
009,2.724,3,0.5,2,luxury automotive aspirations,beacon in darkness
010,0.928,1,0.167,1,music,explosion
011,2.616,3,0.429,2,life choices,bridges
012,2.35,3,0.6,1,harmony,cream and chocolate mixing
013,1.189,1,0.143,1,high-intensity exercise,fire
014,0.0,0,0.0,0,growth,none
015,1.02,1,0.143,1,health,dragon
016,1.502,2,0.4,1,time progression,journey
017,1.5,1,0.167,1,extreme vulnerability,predatory siege
018,3.09,3,0.429,2,creativity,colored pencils
019,0.0,0,0.0,0,nicotine addiction,cigarette entrapment
020,3.935,4,0.667,3,financial loss,burning money
021,3.839,4,0.667,2,confronting danger,lion taming
022,2.012,2,0.333,2,pursuit of knowledge,light
023,3.099,3,0.5,2,hope,lantern
024,1.854,2,0.25,1,travel opportunity,financial wealth
025,1.334,1,0.143,1,time pressure,mechanical machinery
026,0.919,1,0.2,1,inner joy,glowing warmth
027,0.0,0,0.0,0,confidence,spotlight
028,2.431,3,0.5,1,feeling overwhelmed,navigating dangerous traffic
029,2.034,2,0.333,1,neglect,cold storage
030,5.5,5,0.625,4,capitalism,industrial machine
031,3.076,3,0.429,2,healthcare access,institutional barriers
032,1.378,1,0.167,1,hope amid despair,donut
033,3.193,3,0.5,2,temptation,competing for food
034,2.173,3,0.5,1,perseverance through adversity,journey through inferno
035,1.175,1,0.167,1,purity,dewdrops
036,4.417,4,0.571,2,leadership amid chaos,ship navigation
037,1.0,1,0.167,1,listening,light waves
038,4.128,3,0.5,3,mental fragility,fragile glass
039,0.0,0,0.0,0,death of knowledge,funeral
040,1.747,2,0.333,1,escapism through technology,digital dissolution
041,3.947,4,0.667,2,social media consumption,hunting and feeding
042,1.083,1,0.143,1,environmental destruction,poison
043,2.349,2,0.333,2,pain relief,football protection
044,1.522,2,0.333,1,intellectual empowerment,electrical energy
045,2.474,3,0.5,1,temptation,candy
046,2.882,3,0.5,2,imagination,alien visitation
047,2.964,3,0.5,2,artistic creativity,plant growth
048,1.743,2,0.333,1,biomimetic technology,gecko foot pad
049,0.0,0,0.0,0,food preservation,none
050,1.906,2,0.333,1,storage capacity,warehouse
051,5.275,5,0.833,3,emotional upheaval,volcanic eruption
052,2.031,2,0.333,1,inner power,elemental magic
053,3.289,4,0.571,2,creative work,beer
054,1.456,2,0.333,1,comfort and well-being,glowing pillow
055,2.586,4,0.667,1,fear,monsters
056,2.21,3,0.5,1,overcoming challenges,ironing
057,4.313,4,0.571,2,loss of control,vehicle disintegration
058,1.716,2,0.333,1,spiciness,explosion
059,1.772,2,0.333,1,spiciness,fire
060,2.662,3,0.429,1,system collapse,disintegrating structure
061,4.863,4,0.571,3,emotional refuge,lifebuoy in stormy seas
062,1.474,1,0.167,1,joy,light emission
063,1.747,2,0.333,1,labor dehumanization,factory production
064,1.395,2,0.333,1,corruption of health by temptation,lollipop replacing apple
065,1.031,1,0.143,1,health and wellness,nutrition
067,2.697,3,0.429,1,overcoming obstacles,destructive force
068,1.573,2,0.286,1,culinary aspiration,levitation
069,1.026,1,0.167,1,caffeine stimulation,engine power
070,2.467,3,0.5,2,temptation,food
071,2.165,3,0.5,1,coffee energy,fire
072,2.365,3,0.429,1,agriculture,miniature diorama
073,0.91,1,0.167,1,farmer identity,wheat crop
074,2.974,3,0.5,2,personal transformation,nutritional beverage
075,3.025,3,0.429,2,freedom and joy,surfing
076,2.17,3,0.5,1,purity,mountain spring
077,1.617,2,0.333,1,energy and alertness,lightning and fire
078,2.81,4,0.571,1,environmental fragility,bottled landscape
079,2.844,3,0.429,2,hardship,indulgence
080,3.035,3,0.5,2,technology addiction,fire
081,1.707,2,0.333,1,emotional hardness,brick wall
082,2.752,3,0.429,2,spiritual liberation,doves and magic
083,3.681,4,0.667,2,hidden inner value,pearl in oyster
084,5.52,5,0.714,2,gastronomy,visual art
085,2.091,2,0.333,2,revelation,zipper
086,1.466,2,0.333,1,energy and vitality,electricity
087,2.867,3,0.5,2,luxury fragrance,lotus flower
088,1.512,2,0.333,1,harsh speech,ice shards
089,2.831,3,0.5,1,digital engagement,fishing trap
090,4.147,4,0.571,3,aspiration,paper airplane
091,1.822,2,0.286,1,environmental degradation,plastic pollution
092,1.882,2,0.286,1,rock music,electricity
093,1.855,2,0.4,1,pest control,divine protection
094,1.755,2,0.333,1,education,shelter
095,1.155,1,0.167,1,energy boost,electricity
096,1.548,2,0.333,1,luxury car,diamond
097,4.719,4,0.667,3,shared journey,aircraft on runway
098,1.812,2,0.333,1,overwhelming power,industrial boot
099,1.637,2,0.333,1,seductive femininity,snake
100,2.236,3,0.429,1,social media engagement,hamster wheel
101,1.82,2,0.333,1,media infrastructure collapse,crumbling tower
102,0.0,0,0.0,0,deterioration,none
103,1.689,2,0.333,1,insecticide effectiveness,superhero destruction
104,2.064,3,0.429,1,relief from hardship,oasis in desert
105,1.187,1,0.2,1,spiciness,fire
106,1.877,2,0.333,1,obstruction,barriers
107,1.691,2,0.333,1,risk and loss,poker
108,1.563,2,0.5,1,medicine,natural remedy
109,3.204,3,0.429,3,danger in civilization,predatory creature
110,4.877,4,0.571,2,control and direction,piloting a vehicle
111,1.892,2,0.286,1,food contamination,plastic pollution
112,2.871,3,0.5,1,loyalty,artistic practice
113,1.425,2,0.333,1,impact,ripples
114,1.122,1,0.2,1,desolation,hope
115,5.076,4,0.571,3,restoration,painting
116,1.366,2,0.286,1,industrial pollution,viral infection
117,1.392,2,0.333,1,mind,walnut
118,2.615,4,0.571,1,emotional suffering,infection
119,3.002,3,0.5,3,illness,medication
120,1.597,2,0.286,1,facing adversity,predatory animals
121,0.981,1,0.167,1,color selection,bread toasting
122,2.841,3,0.429,2,social tension,electrical discharge
123,1.962,2,0.333,1,rebirth,phoenix
124,4.457,4,0.571,4,nature's harmony,music
125,2.309,2,0.333,2,transformation,butterflies
126,1.54,2,0.333,1,passion,fire
127,1.632,2,0.333,1,romantic relationship,solid foundation
128,2.051,3,0.5,1,time,flowing water
129,2.067,2,0.4,1,spiritual emptiness,material wealth
130,2.388,3,0.5,1,imminent catastrophe,bomb countdown
131,3.213,3,0.429,2,eating,celebration
132,1.43,2,0.333,1,passion,heat
133,1.755,2,0.333,1,intense desire,fire
134,1.82,2,0.333,1,ambition,speed
135,2.482,3,0.5,1,achievement,mountain climbing
136,4.028,4,0.571,2,abundance,mountain
137,1.343,1,0.167,1,loss of knowledge,fire consuming documents
138,1.912,2,0.286,2,emotional turmoil,explosion
139,2.171,2,0.286,2,inner strength,light
140,2.441,3,0.429,1,time,flowing liquid
141,3.097,3,0.429,2,vitality,fire
142,2.215,2,0.286,2,despair,abyss
143,2.867,3,0.5,3,inner turmoil,storm
144,0.0,0,0.0,0,writing,none
145,0.904,1,0.167,1,social isolation,figure among blur
146,2.106,3,0.5,1,despair,barren landscape
147,1.589,2,0.333,1,bureaucracy,storm
148,1.558,2,0.4,1,overwhelming constraint,whale in pool
149,1.628,2,0.333,1,emotional torment,fire
150,2.447,2,0.333,2,human struggle,cave
151,1.173,1,0.125,1,growth,electrical energy
153,0.0,0,0.0,0,natural beauty,none
154,8.0,6,1.0,4,being overwhelmed by crowd,drowning in water
155,3.752,3,0.429,2,unstoppable momentum,buffalo stampede
157,3.197,3,0.429,2,grief and memory,hell
158,1.317,1,0.125,1,romantic love,warmth and light
159,3.284,4,0.571,2,industrial destruction,revolver
160,2.153,3,0.5,1,liberation,breaking free from constraint
161,2.186,3,0.5,1,mental overwhelm,swirling leaves
162,1.748,2,0.286,1,inner torment,explosion
163,2.925,3,0.5,2,helplessness,oncoming collision
164,1.439,1,0.167,1,despair,desolate forest
166,3.094,3,0.5,2,comfort,bed
167,1.102,1,0.167,1,systemic oppression,prison confinement
168,2.561,3,0.429,1,hidden foundations,root systems
169,1.065,1,0.167,1,moral corruption,balance scale
170,3.099,3,0.5,2,uncertainty,abyss
171,3.429,4,0.571,2,uncertainty in life,mountain journey through fog
172,1.67,2,0.333,1,captivity,padlock and chains
173,2.313,3,0.5,1,emotional intimacy,natural shelter
174,1.363,2,0.333,1,adversity,blizzard
175,2.427,3,0.5,2,harmony with nature,natural growth
176,1.511,2,0.333,1,inner radiance,fire
177,2.467,3,0.6,2,transcendence,clouds
178,2.102,2,0.333,1,resilience,natural disaster
179,2.206,3,0.5,1,inner beauty and expression,luminescent magical flower
180,3.202,3,0.5,2,love,melting ice
181,3.626,4,0.667,2,introspection,water
182,1.424,2,0.333,1,beauty and femininity,roses
183,2.417,3,0.429,1,human identity,puzzle
184,4.254,4,0.667,2,personal progress,journey along a path
185,0.994,1,0.167,1,international relations,national flags and territorial divide
186,2.54,3,0.5,1,love,journey through obstacles
187,4.601,6,0.667,2,duality,sword
188,2.271,3,0.429,1,heartbreak,illness
189,2.849,3,0.429,2,creativity,crayons
190,2.452,2,0.4,2,human emotion,artistic painting
191,2.409,3,0.5,1,human passion,fire
192,2.754,3,0.5,2,grief,decay and desolation
193,1.777,2,0.333,1,loss of agency,mechanical constraint
194,2.62,3,0.5,1,aspiration,desert exploration
195,1.183,1,0.167,1,desire,mechanical artifact
196,0.0,0,0.0,0,mountain valley,none
197,1.397,2,0.286,1,spiritual awakening,radiant light
198,0.0,0,0.0,0,fragility,none
199,0.0,0,0.0,0,twilight,none
200,2.689,3,0.429,1,life's journey,board game
201,2.479,3,0.5,2,spiritual awakening,fire and light
202,1.094,1,0.167,1,earth,food
203,3.925,5,0.714,1,environmental stewardship,nurturing caretaker
204,1.585,2,0.333,1,spiritual aspiration,crystal castle
205,0.0,0,0.0,0,serenity,none
206,1.196,1,0.167,1,despair,sunken shipwreck
207,2.75,3,0.429,2,environmental collapse,destroyed earth
208,0.0,0,0.0,0,snow landscape,none
209,0.978,1,0.167,1,inner pain,fire
210,3.509,4,0.571,2,environmental choice,painting
211,3.479,4,0.571,2,life and reality,theater
212,1.718,2,0.333,1,impending doom,predatory bird
213,1.035,1,0.167,1,time pressure,imminent danger
214,1.039,1,0.167,1,mortality,grim reaper
215,0.0,0,0.0,0,spring blossoms,none
216,1.107,1,0.143,1,death,winter cold
217,4.761,5,0.714,2,exploitative labor,hell
218,3.118,4,0.667,2,transformation,painting
219,2.799,4,0.667,1,human intelligence,digital energy
220,2.756,3,0.5,2,romantic love,treasure
221,0.0,0,0.0,0,athletic performance,none
222,1.535,2,0.333,1,inner worth,precious stone
223,2.589,3,0.5,2,inner strength,elemental forces
224,2.363,3,0.429,1,entrapment,net
225,0.0,0,0.0,0,spices and herbs,none
226,2.215,3,0.5,1,joy,light
227,2.435,3,0.429,1,searching for direction,navigating a labyrinth
228,1.577,2,0.286,1,classroom chaos,uncontrolled motion
229,3.691,4,0.571,1,human intelligence,digital networks
230,1.622,2,0.333,1,knowledge,light
231,1.875,2,0.4,1,unstoppable power,raging storm
232,1.464,2,0.286,1,travel,wealth
233,3.326,4,0.667,2,inner strength,supernatural power
234,0.92,1,0.167,1,mortality,time
235,1.212,1,0.143,1,abandonment,decay
236,1.25,1,0.143,1,social oppression,narrow alley
237,2.033,2,0.333,2,emotional overwhelm,storm clouds
238,2.123,2,0.333,2,wealth,avalanche
239,3.991,4,0.571,2,guidance in adversity,lighthouse beam
240,2.698,3,0.5,1,memory,attic
242,3.138,3,0.5,2,work overwhelm,drowning
243,2.097,2,0.286,1,life direction,compass
244,1.485,2,0.333,1,spiritual awakening,divine light
245,1.039,1,0.143,1,spiritual awakening,sun
246,2.846,3,0.5,2,physical overexertion,skin inflammation
247,0.947,1,0.167,1,inner emptiness,barren landscape
