id,clip_cosine
001,0.2361
002,0.2384
003,0.1762
004,0.2876
005,0.2270
006,0.2031
007,0.1723
008,0.2079
009,0.1669
010,0.2416
011,0.2280
012,0.2345
013,0.1809
014,0.2413
015,0.2221
016,0.2112
017,0.2598
018,0.2517
020,0.2450
021,0.2324
022,0.2545
023,0.1693
024,0.2093
025,0.1925
026,0.2893
027,0.2661
028,0.2141
029,0.3110
031,0.2002
032,0.2058
033,0.3022
034,0.2059
035,0.2079
036,0.2416
037,0.1538
038,0.2459
039,0.2508
040,0.2499
041,0.1963
042,0.3058
044,0.1749
045,0.2734
046,0.2283
047,0.1634
048,0.1724
049,0.2370
050,0.2445
051,0.2298
052,0.2690
053,0.2173
054,0.2206
055,0.2192
056,0.3066
057,0.2218
058,0.2529
059,0.2375
060,0.2967
061,0.2490
062,0.2202
063,0.1628
064,0.2310
065,0.2430
066,0.1589
067,0.2256
068,0.2787
069,0.2928
070,0.2835
071,0.3155
072,0.2169
073,0.2452
074,0.2237
075,0.2400
076,0.2371
077,0.2747
078,0.2297
079,0.3025
080,0.2459
081,0.2601
082,0.2150
083,0.2083
084,0.2490
085,0.2397
086,0.2612
087,0.2531
089,0.2514
090,0.2486
091,0.3113
092,0.1479
093,0.2357
094,0.2899
095,0.2039
096,0.2184
097,0.2251
098,0.2268
099,0.2442
100,0.2147
101,0.2930
102,0.2288
103,0.1874
104,0.1938
105,0.2527
106,0.3070
108,0.1903
109,0.2354
110,0.1922
111,0.3048
112,0.3507
113,0.1678
114,0.2719
115,0.2394
116,0.2674
117,0.2666
120,0.2077
121,0.2131
122,0.2248
123,0.2397
124,0.2498
125,0.3446
126,0.1462
127,0.1782
128,0.2253
129,0.2445
130,0.2150
131,0.1757
132,0.2621
133,0.2733
134,0.2225
135,0.1972
136,0.3305
137,0.1942
138,0.2018
139,0.2323
140,0.2510
141,0.2409
142,0.1837
143,0.2285
144,0.2489
145,0.1788
146,0.2102
147,0.2650
148,0.2684
149,0.2555
150,0.1843
151,0.2196
153,0.1666
154,0.2353
155,0.2693
156,0.2796
157,0.2313
158,0.1929
159,0.2148
160,0.1554
161,0.2008
163,0.3417
164,0.2441
166,0.1772
167,0.1994
168,0.2197
169,0.1950
170,0.2079
171,0.2089
172,0.2057
173,0.2403
174,0.2570
175,0.2331
176,0.1971
177,0.1336
178,0.2023
179,0.1727
180,0.1894
181,0.2212
182,0.1876
183,0.2484
184,0.1776
185,0.1853
186,0.1699
188,0.1979
189,0.2380
190,0.2504
191,0.2452
192,0.2017
193,0.2044
194,0.2545
195,0.2214
196,0.2124
197,0.1589
198,0.2041
199,0.2306
200,0.1979
201,0.2221
202,0.2333
203,0.2071
204,0.2618
205,0.2619
206,0.2437
207,0.2464
208,0.2755
210,0.2587
211,0.2232
212,0.2302
213,0.1997
214,0.2143
215,0.2303
216,0.2948
217,0.2758
218,0.2642
219,0.2137
220,0.1987
221,0.2593
222,0.2173
223,0.2170
224,0.1963
225,0.1768
226,0.1998
227,0.1797
228,0.2379
229,0.2390
230,0.1942
231,0.2326
232,0.1824
233,0.2344
234,0.1995
235,0.1789
236,0.1883
237,0.2068
238,0.2124
239,0.2843
240,0.2203
241,0.2033
242,0.2740
243,0.1584
244,0.1869
245,0.1865
246,0.2488
247,0.1971
248,0.2231
249,0.1966
250,0.2137
