id,metaphor,mean_judge_score,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
003,Drinking vodka is absolute paradise.,8.500,8.000,9.000,8.500,8.000,N/A,9.000,7.000,N/A,9.000,9.000,N/A,9.000,8.000,N/A,9.000
007,Healthy eating is a sport.,8.400,8.000,9.000,8.000,8.000,N/A,8.667,7.000,N/A,9.000,9.000,N/A,9.000,N/A,N/A,8.000
008,Be a tourist in Italy by eating Barilla pasta.,8.000,7.333,8.333,8.333,8.333,7.000,8.667,7.000,7.000,8.000,9.000,7.000,9.000,9.000,7.000,9.000
009,The Nissan Juke is the Batmobil.,8.444,8.667,8.000,8.667,8.000,8.667,8.667,7.000,10.000,9.000,8.000,7.000,9.000,9.000,9.000,8.000
010,The music will punch you through the headphones.,8.889,8.667,9.000,9.000,8.333,9.333,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
011,Resisting vaccines is like refusing to cross a professionally engineered bridge.,8.000,8.000,8.000,8.000,8.000,7.000,9.000,7.000,8.000,9.000,8.000,7.000,9.000,9.000,6.000,9.000
012,Cadbury chocolate is as creamy as fresh milk.,8.889,8.000,9.333,9.333,9.000,9.000,8.667,7.000,9.000,8.000,10.000,9.000,9.000,10.000,9.000,9.000
013,Running is a calory crusher.,8.611,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
014,Brämhults is a fresh carrot.,7.556,7.333,8.000,7.333,8.333,5.000,9.333,7.000,5.000,10.000,9.000,6.000,9.000,9.000,4.000,9.000
015,Genetically modified food is a hidden predator on your plate.,8.111,8.333,8.667,7.333,7.333,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,6.000,7.000,9.000
016,Time is a highway.,8.056,7.000,8.833,8.333,8.500,7.000,8.667,7.000,6.000,8.000,9.500,8.000,9.000,9.000,7.000,9.000
017,Risking change is like jumping into shark-ridden waters off a sinking ship.,8.889,8.333,9.000,9.333,9.000,8.667,9.000,7.000,9.000,9.000,10.000,8.000,9.000,10.000,9.000,9.000
018,The Publicis Singapore pencils wish you festive greetings.,8.778,8.667,9.000,8.667,8.333,8.667,9.333,7.000,9.000,10.000,9.000,9.000,9.000,9.000,8.000,9.000
019,Being addicted to smoking is being lost in a maze.,8.444,7.667,8.667,9.000,8.667,8.000,8.667,7.000,8.000,8.000,9.000,8.000,9.000,10.000,8.000,9.000
020,Buying cigarettes is throwing money away.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
021,Driving safety is a lion tamer.,8.000,8.000,7.500,8.333,8.000,7.000,9.000,7.000,8.000,9.000,N/A,6.000,9.000,9.000,7.000,9.000
025,A deadline is a trap closing in on a worker.,8.222,8.333,8.667,7.667,7.667,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,7.000,7.000,9.000
026,Coffee switches you on like a lightswitch.,8.667,8.667,9.000,8.333,8.000,9.333,8.667,7.000,10.000,9.000,9.000,9.000,9.000,8.000,9.000,8.000
027,Colgate toothpaste throws a spotlight on your teeth.,9.056,9.000,9.167,9.000,8.500,9.333,9.333,7.000,10.000,10.000,9.500,9.000,9.000,9.000,9.000,9.000
028,Jaywalking is a death sentence.,8.444,8.000,8.667,8.667,8.333,8.333,8.667,7.000,9.000,8.000,9.000,8.000,9.000,9.000,8.000,9.000
029,"If not cooled correctly, vegetables are dead corpses.",7.556,8.000,8.667,6.000,6.667,7.667,8.333,7.000,9.000,8.000,9.000,8.000,9.000,4.000,6.000,8.000
030,The pharmaceutical industry is a money machine.,8.556,8.333,8.833,8.500,8.667,8.000,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.500,7.000,9.000
031,Healthcare is a coin-operated service.,8.889,8.667,8.833,9.167,8.667,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,9.500,9.000,9.000
032,"Krispy Kreme donuts can be found in Scottland, like the Loch Ness monster.",8.778,8.667,8.667,9.000,8.333,9.000,9.000,7.000,10.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
033,Yunky donut arrests your hunger.,6.444,5.000,7.000,7.333,7.000,3.667,8.667,4.000,3.000,8.000,8.000,4.000,9.000,9.000,4.000,9.000
034,Doritos can turn eating chips into a thrilling flavour adventure.,8.722,8.333,8.833,9.000,8.833,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,10.000,8.000,9.000
035,Dove cream is a flower.,8.444,8.000,8.667,8.667,8.667,7.667,9.000,7.000,8.000,9.000,9.000,8.000,9.000,10.000,7.000,9.000
036,Drunk driving is a recipe for a car crash.,8.667,8.333,9.000,9.000,8.667,8.500,9.000,7.000,9.000,9.000,9.000,N/A,N/A,10.000,8.000,N/A
