id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
001,Car,Pollution,fragility,pollution,ok,1.0,0.2442,0.6221,False,True,0.2442,1.0
002,Drunk driving,Car Crash,drunk driving,crash wreckage,ok,1.0,0.5309,0.7655,True,True,1.0,0.5309
003,Vodka,Tropical island,paradise,bottle,ok,0.5059,0.493,0.4994,True,True,0.5059,0.493
004,Airconditioning,Animals,rapid air cooling,polar bear habitat,ok,0.5778,0.2162,0.397,False,True,0.5778,0.2162
005,Apple,Juicebox,processed food,juice box,ok,0.92,0.2942,0.6071,False,True,0.2942,0.92
006,McDonalds Bag,Backpack,travel,fast food culture,ok,0.324,0.3043,0.3141,False,False,0.324,0.3043
007,Badminton shuttlecock,Rocket leaves,badminton,none,no_metaphor_detected,0.7747,0.135,0.4548,False,True,0.7747,0.135
008,Noodle,Leaning Tower of Pisa,brand dominance,giant object,ok,0.3015,0.1152,0.2084,False,False,0.1152,0.3015
009,Car,Batman,nissan juke,batman,ok,1.0,0.5544,0.7772,True,True,0.5544,1.0
010,Music Note,Boxing Gloves,speaker power,boxing,ok,0.7064,0.112,0.4092,False,True,0.112,0.7064
011,Bridge,Anti-Vaxx Logic,vaccine hesitancy,bridge crossing decision,ok,0.5086,0.484,0.4963,True,True,0.484,0.5086
012,Chocolate,Milk bottles,product creaminess,milk delivery,ok,0.6243,0.344,0.4842,False,True,0.344,0.6243
013,Running shoes,Crushed cake,calorie burning,crushing,ok,0.5118,0.1056,0.3087,False,True,0.1056,0.5118
014,Carrot,Carrot Juice,commercial product,carrot,ok,1.0,0.2382,0.6191,False,True,0.2382,1.0
015,Genetically modified food,Scorpion,genetically modified food,scorpion,ok,1.0,1.0,1.0,True,True,1.0,1.0
016,Watch,Highway,time,journey,ok,0.428,0.3505,0.3893,False,False,0.3505,0.428
017,Boats on water,Risk of change,decision-making dilemma,navigation in dangerous waters,ok,0.6273,0.3438,0.4856,False,True,0.3438,0.6273
