group_id,pair_1_id,pair_2_id,pair_3_id,pair_4_id,pair_5_id,pair_1_metaphor,pair_2_metaphor,pair_3_metaphor,pair_4_metaphor,pair_5_metaphor,pair_1_zero_image,pair_2_zero_image,pair_3_zero_image,pair_4_zero_image,pair_5_zero_image,pair_1_last_image,pair_2_last_image,pair_3_last_image,pair_4_last_image,pair_5_last_image
1,076,199,026,065,113,Vodka freshly tapped from nature.,Night is a toddler crawling on the floor.,Coffee switches you on like a lightswitch.,A healthy diet is preventive medicine for your organs.,Listen to your uterus to recognise the signs of cancer.,visual_reasoning/experiment_1/zero_filtered/076.png,visual_reasoning/experiment_1/zero_filtered/199.png,visual_reasoning/experiment_1/zero_filtered/026.png,visual_reasoning/experiment_1/zero_filtered/065.png,visual_reasoning/experiment_1/zero_filtered/113.png,visual_reasoning/experiment_1/last_filtered/076.png,visual_reasoning/experiment_1/last_filtered/199.png,visual_reasoning/experiment_1/last_filtered/026.png,visual_reasoning/experiment_1/last_filtered/065.png,visual_reasoning/experiment_1/last_filtered/113.png
2,082,102,192,122,202,A spoonful of NyQuil is a concentrated flock of sleep.,My tongue is an old sock.,My heart is a garden tired with autumn,Failing to social distance is an explosion waiting to happen.,The earth is a succulent Sunday roast.,visual_reasoning/experiment_1/zero_filtered/082.png,visual_reasoning/experiment_1/zero_filtered/102.png,visual_reasoning/experiment_1/zero_filtered/192.png,visual_reasoning/experiment_1/zero_filtered/122.png,visual_reasoning/experiment_1/zero_filtered/202.png,visual_reasoning/experiment_1/last_filtered/082.png,visual_reasoning/experiment_1/last_filtered/102.png,visual_reasoning/experiment_1/last_filtered/192.png,visual_reasoning/experiment_1/last_filtered/122.png,visual_reasoning/experiment_1/last_filtered/202.png
3,095,115,199,210,159,Red bull is a battery.,Vaseline can be used for art restoration.,Night is a toddler crawling on the floor.,The world is a paintbrush,America is a gun.,visual_reasoning/experiment_1/zero_filtered/095.png,visual_reasoning/experiment_1/zero_filtered/115.png,visual_reasoning/experiment_1/zero_filtered/199.png,visual_reasoning/experiment_1/zero_filtered/210.png,visual_reasoning/experiment_1/zero_filtered/159.png,visual_reasoning/experiment_1/last_filtered/095.png,visual_reasoning/experiment_1/last_filtered/115.png,visual_reasoning/experiment_1/last_filtered/199.png,visual_reasoning/experiment_1/last_filtered/210.png,visual_reasoning/experiment_1/last_filtered/159.png
4,114,110,207,051,216,Vaseline can smooth cracks in dried earth.,Driving a Honda is sitting in a train on rails.,The planet is a sinking ship.,Global ice melting is as dangerous as a missile.,Winter is a bony old crone,visual_reasoning/experiment_1/zero_filtered/114.png,visual_reasoning/experiment_1/zero_filtered/110.png,visual_reasoning/experiment_1/zero_filtered/207.png,visual_reasoning/experiment_1/zero_filtered/051.png,visual_reasoning/experiment_1/zero_filtered/216.png,visual_reasoning/experiment_1/last_filtered/114.png,visual_reasoning/experiment_1/last_filtered/110.png,visual_reasoning/experiment_1/last_filtered/207.png,visual_reasoning/experiment_1/last_filtered/051.png,visual_reasoning/experiment_1/last_filtered/216.png
5,100,096,015,101,211,Social media is a hamster wheel.,Automotive safety is a gem to be treasured.,Genetically modified food is a hidden predator on your plate.,A social media feed is a roll of toilet paper.,The world is a stage,visual_reasoning/experiment_1/zero_filtered/100.png,visual_reasoning/experiment_1/zero_filtered/096.png,visual_reasoning/experiment_1/zero_filtered/015.png,visual_reasoning/experiment_1/zero_filtered/101.png,visual_reasoning/experiment_1/zero_filtered/211.png,visual_reasoning/experiment_1/last_filtered/100.png,visual_reasoning/experiment_1/last_filtered/096.png,visual_reasoning/experiment_1/last_filtered/015.png,visual_reasoning/experiment_1/last_filtered/101.png,visual_reasoning/experiment_1/last_filtered/211.png
6,048,027,176,152,224,Strong hair gel has the grip of a lizard's feet.,Colgate toothpaste throws a spotlight on your teeth.,"Her hair is a rippling, tossing sea",An ancient anger exploded in his heart,His fear is his prison.,visual_reasoning/experiment_1/zero_filtered/048.png,visual_reasoning/experiment_1/zero_filtered/027.png,visual_reasoning/experiment_1/zero_filtered/176.png,visual_reasoning/experiment_1/zero_filtered/152.png,visual_reasoning/experiment_1/zero_filtered/224.png,visual_reasoning/experiment_1/last_filtered/048.png,visual_reasoning/experiment_1/last_filtered/027.png,visual_reasoning/experiment_1/last_filtered/176.png,visual_reasoning/experiment_1/last_filtered/152.png,visual_reasoning/experiment_1/last_filtered/224.png
7,129,217,034,019,146,Drink away your riches,Work is a living hell,Doritos can turn eating chips into a thrilling flavour adventure.,Being addicted to smoking is being lost in a maze.,It is sad to observe the fruits of ignorance,visual_reasoning/experiment_1/zero_filtered/129.png,visual_reasoning/experiment_1/zero_filtered/217.png,visual_reasoning/experiment_1/zero_filtered/034.png,visual_reasoning/experiment_1/zero_filtered/019.png,visual_reasoning/experiment_1/zero_filtered/146.png,visual_reasoning/experiment_1/last_filtered/129.png,visual_reasoning/experiment_1/last_filtered/217.png,visual_reasoning/experiment_1/last_filtered/034.png,visual_reasoning/experiment_1/last_filtered/019.png,visual_reasoning/experiment_1/last_filtered/146.png
8,150,190,189,048,249,We were in the jaws of death.,My heart is a blank canvas waiting to be painted.,My brain is a box of crayons,Strong hair gel has the grip of a lizard's feet.,He wanted to set sail on the ocean of love but instead wasted away in the desert.,visual_reasoning/experiment_1/zero_filtered/150.png,visual_reasoning/experiment_1/zero_filtered/190.png,visual_reasoning/experiment_1/zero_filtered/189.png,visual_reasoning/experiment_1/zero_filtered/048.png,visual_reasoning/experiment_1/zero_filtered/249.png,visual_reasoning/experiment_1/last_filtered/150.png,visual_reasoning/experiment_1/last_filtered/190.png,visual_reasoning/experiment_1/last_filtered/189.png,visual_reasoning/experiment_1/last_filtered/048.png,visual_reasoning/experiment_1/last_filtered/249.png
9,077,072,032,013,014,Nescafé is a battery.,The earth is a kitchen prep station for local ingredients.,"Krispy Kreme donuts can be found in Scottland, like the Loch Ness monster.",Running is a calory crusher.,Brämhults is a fresh carrot.,visual_reasoning/experiment_1/zero_filtered/077.png,visual_reasoning/experiment_1/zero_filtered/072.png,visual_reasoning/experiment_1/zero_filtered/032.png,visual_reasoning/experiment_1/zero_filtered/013.png,visual_reasoning/experiment_1/zero_filtered/014.png,visual_reasoning/experiment_1/last_filtered/077.png,visual_reasoning/experiment_1/last_filtered/072.png,visual_reasoning/experiment_1/last_filtered/032.png,visual_reasoning/experiment_1/last_filtered/013.png,visual_reasoning/experiment_1/last_filtered/014.png
10,017,220,133,088,102,Risking change is like jumping into shark-ridden waters off a sinking ship.,A friend is a treasure,The burger is a flame of flavour,Words can be deadly.,My tongue is an old sock.,visual_reasoning/experiment_1/zero_filtered/017.png,visual_reasoning/experiment_1/zero_filtered/220.png,visual_reasoning/experiment_1/zero_filtered/133.png,visual_reasoning/experiment_1/zero_filtered/088.png,visual_reasoning/experiment_1/zero_filtered/102.png,visual_reasoning/experiment_1/last_filtered/017.png,visual_reasoning/experiment_1/last_filtered/220.png,visual_reasoning/experiment_1/last_filtered/133.png,visual_reasoning/experiment_1/last_filtered/088.png,visual_reasoning/experiment_1/last_filtered/102.png
