metaphor_id,metaphor_type,model_slug,k,epsilon,selected_round,pullback_score,mean_judge_score,composite,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,extracted_target,extracted_source
183,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,10,0.1000,2,3.7560,9.0000,0.8033,8.6670,9.3330,9.0000,emotional incompleteness,incomplete puzzle
6,Abstract,bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1000,3,6.6880,8.9440,0.9664,8.6670,8.8330,9.3330,fast food,ancient temple
126,Abstract,bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1000,1,3.7120,8.8120,0.7805,8.0000,8.8330,9.3330,passion,elemental conflict
41,Concrete,bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.0500,7,4.9200,8.7780,0.8465,8.3330,9.0000,9.0000,social media validation,dog feeding
184,Abstract,bedrock_eu_anthropic_claude-sonnet-4-6,10,0.1000,7,6.5360,8.7780,0.9398,8.3330,9.3330,8.6670,pursuit of goals,marathon race
5,Attributal/visual,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.1000,4,2.3730,8.7780,0.6995,8.0000,9.0000,9.3330,apple cider,apple
1,Concrete,openrouter_openai_gpt-5_5,15,0.0500,1,5.1060,8.7500,0.8542,8.0000,9.2500,9.0000,vehicle emissions,factory smokestack
40,Abstract,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.0500,7,4.6370,8.7220,0.8242,8.6670,9.1670,8.3330,social media illusion,desert mirage
42,Concrete,bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.0500,1,1.3480,8.7140,0.6335,9.0000,8.6670,8.5000,ocean pollution,ashtray
185,Abstract,bedrock_eu_anthropic_claude-sonnet-4-6,10,0.0500,10,4.3870,8.6670,0.8038,8.3330,8.6670,9.0000,romantic love,medieval battle
4,Attributal/visual,bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.0500,8,2.3240,8.6670,0.6848,8.3330,9.0000,8.6670,climate control,air conditioner
128,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.0500,4,3.6110,8.6670,0.7590,8.6670,8.6670,8.6670,crisis,ticking time bomb
197,Abstract,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.0500,10,6.0680,8.6110,0.8948,8.0000,8.8330,9.0000,censorship,blade through mouth
168,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.0500,8,3.5140,8.6110,0.7474,8.3330,8.8330,8.6670,inner growth,rooted flowering plant
167,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.2000,7,6.0170,8.5560,0.8859,8.3330,8.6670,8.6670,global oppression,imprisonment
196,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,5,0.2000,3,5.9050,8.5560,0.8794,8.0000,9.0000,8.6670,life journey,river crossing
243,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,5,0.0500,5,3.4210,8.5560,0.7361,8.3330,8.6670,8.6670,romantic love,guiding star
127,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,5,0.0500,5,2.5150,8.5560,0.6838,8.3330,8.6670,8.6670,romantic love,light in storm
2,Attributal/visual,openrouter_openai_gpt-5_5,10,0.1000,6,2.5470,8.5000,0.6796,8.0000,8.8330,8.6670,drunk driving,car crash
23,Abstract,bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2000,2,4.6850,8.5000,0.8030,8.0000,8.5000,9.0000,digital access,locked gate
24,Abstract,openrouter_openai_gpt-5_5,15,0.0500,5,4.2340,8.5000,0.7770,8.3330,8.5000,8.6670,capital one venture,world travel
166,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,10,0.1000,6,6.9320,8.4440,0.9266,7.6670,8.6670,9.0000,waking up struggle,combat
43,Concrete,bedrock_eu_anthropic_claude-sonnet-4-6,15,0.1000,8,4.3220,8.4440,0.7760,8.0000,9.0000,8.3330,headache relief,protective helmet
182,Abstract,bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2000,2,4.8920,8.3330,0.7970,8.0000,8.3330,8.6670,communication,flowers
22,Abstract,bedrock_eu_anthropic_claude-sonnet-4-6,5,0.0500,2,5.8120,8.3330,0.8500,8.0000,8.3330,8.6670,life journey,glowing path
