id,metaphor,mean_judge_score,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
001,Cars are drivable pesticide spray cans.,8.333,8.000,9.000,8.000,8.000,N/A,8.667,7.000,N/A,9.000,9.000,N/A,9.000,8.000,N/A,8.000
002,Absolut vodka is a car crash in a bottle.,8.167,7.333,8.500,8.667,8.500,7.000,9.000,7.000,6.000,9.000,9.500,7.000,9.000,9.000,8.000,9.000
003,Drinking vodka is absolute paradise.,8.000,8.000,7.667,8.333,8.000,7.000,9.000,7.000,8.000,9.000,8.000,6.000,9.000,9.000,7.000,9.000
004,An air conditioner turns a scorching desert into an arctic tundra.,7.444,7.000,8.000,7.333,7.333,6.667,8.333,6.000,7.000,8.000,8.000,7.000,9.000,8.000,6.000,8.000
005,This juice is as fresh as an apple.,7.222,7.333,7.333,7.000,8.333,5.333,8.000,7.000,8.000,7.000,9.000,4.000,9.000,9.000,4.000,8.000
006,Going to McDonalds is an adventure.,8.625,8.667,8.500,8.667,8.000,8.667,9.000,7.000,10.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
007,Healthy eating is a sport.,7.444,7.333,7.333,7.667,8.000,6.333,8.000,7.000,7.000,8.000,8.000,6.000,8.000,9.000,6.000,8.000
008,Be a tourist in Italy by eating Barilla pasta.,8.222,8.000,8.333,8.333,8.333,7.333,9.000,7.000,8.000,9.000,9.000,7.000,9.000,9.000,7.000,9.000
009,The Nissan Juke is the Batmobil.,8.500,8.333,8.000,9.000,8.500,8.000,9.000,7.000,9.000,9.000,N/A,7.000,9.000,10.000,8.000,9.000
010,The music will punch you through the headphones.,9.056,8.667,9.167,9.333,8.833,9.333,9.000,7.000,10.000,9.000,9.500,9.000,9.000,10.000,9.000,9.000
011,Resisting vaccines is like refusing to cross a professionally engineered bridge.,7.333,7.000,7.667,7.333,8.000,6.000,8.000,7.000,6.000,8.000,9.000,6.000,8.000,8.000,6.000,8.000
012,Cadbury chocolate is as creamy as fresh milk.,8.778,8.000,9.333,9.000,9.000,8.667,8.667,7.000,9.000,8.000,10.000,9.000,9.000,10.000,8.000,9.000
013,Running is a calory crusher.,8.444,8.333,8.667,8.333,8.333,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
014,Brämhults is a fresh carrot.,6.556,6.000,8.667,5.000,5.667,5.000,9.000,6.000,4.000,8.000,9.000,8.000,9.000,2.000,3.000,10.000
015,Genetically modified food is a hidden predator on your plate.,8.111,8.333,8.333,7.667,8.333,7.000,9.000,7.000,9.000,9.000,9.000,7.000,9.000,9.000,5.000,9.000
016,Time is a highway.,8.778,8.333,9.333,8.667,8.667,8.667,9.000,7.000,9.000,9.000,10.000,9.000,9.000,9.000,8.000,9.000
017,Risking change is like jumping into shark-ridden waters off a sinking ship.,9.000,8.667,9.000,9.333,9.000,8.667,9.333,7.000,9.000,10.000,10.000,8.000,9.000,10.000,9.000,9.000
018,The Publicis Singapore pencils wish you festive greetings.,8.778,8.333,9.000,9.000,8.333,9.000,9.000,7.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
019,Being addicted to smoking is being lost in a maze.,8.222,7.333,8.667,8.667,9.000,7.000,8.667,7.000,7.000,8.000,10.000,7.000,9.000,10.000,7.000,9.000
020,Buying cigarettes is throwing money away.,9.111,8.667,9.333,9.333,9.000,9.000,9.333,7.000,9.000,10.000,10.000,9.000,9.000,10.000,9.000,9.000
021,Driving safety is a lion tamer.,5.889,5.333,8.000,4.333,4.333,4.333,9.000,4.000,3.000,9.000,8.000,7.000,9.000,1.000,3.000,9.000
