id,clip_cosine
001,0.2094
003,0.2431
004,0.2871
005,0.2299
006,0.1773
007,0.1695
008,0.2659
009,0.2493
010,0.2641
011,0.2356
012,0.2414
013,0.1975
014,0.2265
015,0.2772
016,0.2160
017,0.2364
018,0.2571
021,0.2388
022,0.1829
023,0.2538
024,0.2539
025,0.2057
026,0.1619
027,0.2871
028,0.2005
029,0.2783
031,0.1249
032,0.3048
033,0.2751
034,0.2116
035,0.1926
036,0.1763
037,0.3160
038,0.2786
039,0.1791
040,0.2086
041,0.2006
042,0.3107
043,0.2723
044,0.1518
045,0.2073
046,0.2257
047,0.3013
048,0.1663
049,0.2095
050,0.2961
051,0.2609
052,0.2749
053,0.2471
054,0.2342
055,0.2125
056,0.1992
057,0.1986
058,0.2208
059,0.2768
060,0.3052
061,0.2165
062,0.2296
063,0.2274
064,0.2905
065,0.2571
066,0.2870
067,0.2051
068,0.3064
069,0.2919
070,0.2756
071,0.2538
072,0.2497
073,0.2154
074,0.2063
075,0.2201
076,0.2864
077,0.2667
078,0.2380
079,0.2578
080,0.2472
081,0.2240
082,0.2717
083,0.2321
084,0.1957
085,0.2512
086,0.3014
087,0.2607
088,0.1872
089,0.2176
090,0.3314
091,0.3089
092,0.3251
093,0.2405
094,0.3221
095,0.2902
096,0.2482
097,0.2834
098,0.3103
099,0.2478
100,0.2763
101,0.2119
102,0.2281
103,0.2874
104,0.1760
105,0.2489
106,0.1947
108,0.2951
109,0.2541
110,0.3201
111,0.2814
112,0.3805
113,0.1983
114,0.2837
115,0.2455
116,0.2514
117,0.2679
118,0.2612
120,0.2137
121,0.3050
122,0.2000
123,0.2289
124,0.2660
125,0.3440
126,0.2252
127,0.2077
128,0.2540
130,0.2619
131,0.2734
132,0.2664
133,0.2921
134,0.1954
135,0.2164
136,0.3165
137,0.2375
138,0.2147
139,0.2022
140,0.2630
141,0.2680
142,0.2044
143,0.2457
144,0.2091
145,0.2875
146,0.2265
147,0.2314
148,0.2345
149,0.2811
150,0.1847
151,0.2268
152,0.2692
153,0.1824
154,0.2607
155,0.2921
157,0.1864
158,0.1874
159,0.2032
160,0.2164
161,0.2010
163,0.3247
164,0.2292
165,0.1673
166,0.2175
167,0.2076
168,0.2672
169,0.2278
170,0.2766
171,0.2239
172,0.2480
173,0.2201
174,0.2381
175,0.2210
176,0.2160
177,0.1976
178,0.2592
179,0.2552
180,0.2514
181,0.2347
182,0.2247
183,0.3192
184,0.1913
185,0.1835
186,0.1764
187,0.2752
188,0.2067
189,0.2574
190,0.2500
191,0.2688
192,0.1667
193,0.1902
194,0.2300
195,0.2862
196,0.2225
197,0.1834
198,0.1284
199,0.2329
200,0.2130
201,0.2694
202,0.2165
204,0.2218
205,0.2609
206,0.2451
207,0.2561
208,0.2652
210,0.2877
211,0.1905
212,0.2404
213,0.2006
214,0.2534
215,0.2487
216,0.3014
217,0.2619
218,0.2766
219,0.2149
220,0.1893
221,0.1907
222,0.2326
223,0.2306
224,0.2310
225,0.1948
226,0.2211
227,0.1826
228,0.3097
229,0.2270
230,0.2238
231,0.2935
232,0.2788
233,0.2471
234,0.1648
235,0.2201
236,0.2220
237,0.2044
238,0.2456
239,0.2711
240,0.1982
241,0.2162
242,0.2835
243,0.1704
244,0.1810
245,0.1983
247,0.1969
248,0.2513
249,0.2186
250,0.2538
