id,metaphor,mean_judge_score,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_claude-opus-4-8,judge_model_gpt-5.2,metaphor_consistency__claude-opus-4-8,metaphor_consistency__gpt-5.2,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__gpt-5.2,conceptual_integration__claude-opus-4-8,conceptual_integration__gpt-5.2
003,Drinking vodka is absolute paradise.,6.167,5.500,5.000,8.000,6.333,6.000,6.000,5.000,5.000,5.000,8.000,8.000
007,Healthy eating is a sport.,7.833,8.000,7.000,8.500,7.000,8.667,7.000,9.000,6.000,8.000,8.000,9.000
008,Be a tourist in Italy by eating Barilla pasta.,6.167,5.500,5.500,7.500,6.000,6.333,6.000,5.000,4.000,7.000,8.000,7.000
009,The Nissan Juke is the Batmobil.,6.667,7.000,6.000,7.000,6.667,6.667,7.000,7.000,6.000,6.000,7.000,7.000
010,The music will punch you through the headphones.,6.333,5.000,5.500,8.500,5.667,7.000,5.000,5.000,4.000,7.000,8.000,9.000
011,Resisting vaccines is like refusing to cross a professionally engineered bridge.,6.167,4.000,6.500,8.000,6.333,6.000,4.000,4.000,7.000,6.000,8.000,8.000
012,Cadbury chocolate is as creamy as fresh milk.,7.000,6.500,5.500,9.000,7.000,7.000,7.000,6.000,5.000,6.000,9.000,9.000
013,Running is a calory crusher.,6.833,6.500,6.000,8.000,7.000,6.667,7.000,6.000,6.000,6.000,8.000,8.000
014,Brämhults is a fresh carrot.,2.500,2.000,1.500,4.000,2.333,2.667,2.000,2.000,1.000,2.000,4.000,4.000
015,Genetically modified food is a hidden predator on your plate.,7.000,6.500,6.500,8.000,7.333,6.667,7.000,6.000,7.000,6.000,8.000,8.000
016,Time is a highway.,8.500,8.500,8.500,8.500,8.000,9.000,8.000,9.000,8.000,9.000,8.000,9.000
017,Risking change is like jumping into shark-ridden waters off a sinking ship.,7.833,7.500,7.000,9.000,7.000,8.667,6.000,9.000,6.000,8.000,9.000,9.000
018,The Publicis Singapore pencils wish you festive greetings.,6.500,6.000,5.500,8.000,6.333,6.667,7.000,5.000,5.000,6.000,7.000,9.000
019,Being addicted to smoking is being lost in a maze.,8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
020,Buying cigarettes is throwing money away.,8.000,7.500,8.000,8.500,7.667,8.333,7.000,8.000,8.000,8.000,8.000,9.000
021,Driving safety is a lion tamer.,2.500,2.500,2.000,3.000,2.667,2.333,3.000,2.000,2.000,2.000,3.000,3.000
025,A deadline is a trap closing in on a worker.,6.667,6.000,6.000,8.000,6.667,6.667,6.000,6.000,6.000,6.000,8.000,8.000
026,Coffee switches you on like a lightswitch.,4.833,4.500,4.500,5.500,4.000,5.667,4.000,5.000,4.000,5.000,4.000,7.000
027,Colgate toothpaste throws a spotlight on your teeth.,6.500,5.000,6.000,8.500,6.000,7.000,5.000,5.000,5.000,7.000,8.000,9.000
028,Jaywalking is a death sentence.,4.667,4.000,4.000,6.000,4.333,5.000,4.000,4.000,3.000,5.000,6.000,6.000
029,"If not cooled correctly, vegetables are dead corpses.",6.167,5.000,5.500,8.000,6.000,6.333,5.000,5.000,5.000,6.000,8.000,8.000
030,The pharmaceutical industry is a money machine.,8.167,8.000,8.000,8.500,8.000,8.333,8.000,8.000,8.000,8.000,8.000,9.000
031,Healthcare is a coin-operated service.,7.167,7.000,6.500,8.000,6.333,8.000,6.000,8.000,6.000,7.000,7.000,9.000
032,"Krispy Kreme donuts can be found in Scottland, like the Loch Ness monster.",6.500,6.500,5.500,7.500,6.333,6.667,6.000,7.000,5.000,6.000,8.000,7.000
033,Yunky donut arrests your hunger.,3.500,3.000,3.000,4.500,3.333,3.667,3.000,3.000,3.000,3.000,4.000,5.000
034,Doritos can turn eating chips into a thrilling flavour adventure.,8.167,7.500,8.000,9.000,8.333,8.000,8.000,7.000,8.000,8.000,9.000,9.000
035,Dove cream is a flower.,2.500,2.000,2.000,3.500,2.667,2.333,2.000,2.000,2.000,2.000,4.000,3.000
037,SONY pushes music deep into your ears.,7.833,7.500,7.500,8.500,7.667,8.000,7.000,8.000,7.000,8.000,9.000,8.000
039,Digital entertainment is a pallbearer for reading.,8.167,8.000,8.000,8.500,8.000,8.333,8.000,8.000,8.000,8.000,8.000,9.000
044,Coca Cola is fuel for your thoughts.,8.333,8.000,8.000,9.000,8.333,8.333,8.000,8.000,8.000,8.000,9.000,9.000
