id,clip_cosine
001,0.1693
002,0.2940
003,0.1509
004,0.2966
005,0.2406
006,0.1335
007,0.2276
008,0.2239
009,0.2823
010,0.2440
011,0.2185
012,0.2212
013,0.1926
014,0.2309
015,0.2614
016,0.2151
017,0.2425
018,0.1940
019,0.2599
020,0.2559
021,0.2974
022,0.1853
023,0.2160
024,0.2014
025,0.2112
026,0.2063
027,0.2334
028,0.1916
029,0.2066
030,0.2020
031,0.1801
032,0.2637
033,0.1917
034,0.1569
035,0.1929
036,0.2279
037,0.2189
038,0.2904
039,0.1935
040,0.2075
041,0.1956
042,0.2250
043,0.2565
044,0.1686
045,0.2086
046,0.2272
047,0.2223
048,0.2315
049,0.2312
050,0.2920
051,0.2438
052,0.2558
053,0.2454
054,0.1942
055,0.2083
056,0.2761
057,0.1447
058,0.2383
059,0.2626
060,0.2499
061,0.1963
062,0.2664
063,0.1704
064,0.2650
065,0.2356
066,0.1971
067,0.1867
068,0.3185
069,0.2951
070,0.2888
071,0.2635
072,0.2263
073,0.2281
074,0.2418
075,0.2489
076,0.2837
077,0.2448
078,0.2441
079,0.2506
080,0.2562
081,0.1602
082,0.2316
083,0.2414
084,0.2176
085,0.2316
086,0.2557
087,0.1955
088,0.1753
089,0.2217
090,0.3059
091,0.2319
092,0.3053
093,0.2135
094,0.2456
095,0.2643
096,0.2555
097,0.1899
098,0.2833
099,0.2869
100,0.2177
101,0.2244
102,0.2379
103,0.1642
104,0.1586
105,0.3028
106,0.1251
107,0.1668
108,0.2175
109,0.2318
110,0.3028
111,0.2450
112,0.3111
113,0.1583
114,0.2751
115,0.2445
116,0.2392
117,0.2344
118,0.2231
119,0.2114
120,0.2051
121,0.2904
122,0.1980
123,0.2034
124,0.2507
125,0.3570
126,0.1934
127,0.2425
128,0.2092
129,0.2113
130,0.2670
131,0.2166
132,0.2611
133,0.2702
134,0.1875
135,0.2223
136,0.3178
137,0.1915
138,0.1557
139,0.2291
140,0.2767
141,0.2707
142,0.1967
143,0.2091
144,0.1985
145,0.2197
146,0.1943
147,0.2358
148,0.2721
149,0.2260
150,0.1574
151,0.2541
152,0.2211
153,0.1994
154,0.2668
155,0.2897
156,0.2882
157,0.2098
158,0.1984
159,0.2208
160,0.2121
161,0.1995
162,0.2388
163,0.2156
164,0.1939
165,0.1715
166,0.2036
167,0.2537
168,0.2617
169,0.2306
170,0.2131
171,0.2103
172,0.2295
173,0.2446
174,0.2201
175,0.2110
176,0.2336
177,0.2210
178,0.2525
179,0.2252
180,0.2158
181,0.2274
182,0.1997
183,0.3291
184,0.1980
185,0.1945
186,0.1657
187,0.2272
188,0.1842
189,0.2549
190,0.2599
191,0.2590
192,0.2092
193,0.1564
194,0.2668
195,0.2109
196,0.2570
197,0.1868
198,0.1507
199,0.1532
200,0.2384
201,0.2860
202,0.1451
203,0.2101
204,0.2379
205,0.2095
206,0.2384
207,0.2589
208,0.2269
209,0.2466
210,0.2225
211,0.2302
212,0.2393
213,0.2106
214,0.1685
215,0.2572
216,0.3003
217,0.2335
218,0.2649
219,0.1697
220,0.2421
221,0.1970
222,0.1760
223,0.2202
224,0.2294
225,0.1879
226,0.2007
227,0.1629
228,0.2711
229,0.2285
230,0.2115
231,0.2912
232,0.2612
233,0.2465
234,0.1311
235,0.1899
236,0.2596
237,0.2029
238,0.2169
239,0.2732
240,0.1734
241,0.2196
242,0.2552
243,0.1698
244,0.1877
245,0.1779
246,0.1873
247,0.2089
248,0.2234
249,0.2182
250,0.2890
