id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
001,Cars,Pollution,uncertainty,fog,ok,0.4317,0.1641,0.2979,False,False,0.1641,0.4317
002,Drunk driving,Car accidents,product impact,explosion,ok,0.28,0.1682,0.2241,False,False,0.1682,0.28
003,Alcohol,Fun,spiritual awakening,divine light,ok,0.3762,0.1733,0.2747,False,False,0.3762,0.1733
004,Air conditioning,Environments,opposition,desert and arctic landscape,ok,0.3555,0.1372,0.2464,False,False,0.3555,0.1372
005,Juice,Freshness,fruit processing,none,no_metaphor_detected,0.3336,0.1931,0.2633,False,False,0.3336,0.1931
006,Fast food,Adventure,quest,journey through darkness toward light,ok,0.5141,0.0897,0.3019,False,True,0.5141,0.0897
007,Nutrition,Sports,athletic performance,data analysis,ok,0.669,0.2474,0.4582,False,True,0.669,0.2474
008,Pasta,Authentic Italian,solitude,none,no_metaphor_detected,0.2619,0.2292,0.2456,False,False,0.2619,0.2292
009,Nissan Juke,Batmobil,luxury and aspiration,none,no_metaphor_detected,0.2144,0.0326,0.1235,False,False,0.0326,0.2144
010,Music,Punch,breakthrough thinking,explosion,ok,0.3753,0.1846,0.28,False,False,0.1846,0.3753
011,Vaccine resistance,Bridge crossing,collective action,bridge crossing,ok,1.0,0.073,0.5365,False,True,0.073,1.0
012,Cadburry chocolate,Fresh Milk,chocolate preparation,none,no_metaphor_detected,0.5863,0.1385,0.3624,False,True,0.5863,0.1385
013,Running,Calory crusher,heartbreak,mechanical grinding,ok,0.3813,0.2691,0.3252,False,False,0.2691,0.3813
014,Brämhults,Carrot,growth and potential,carrot plant,ok,0.7886,0.0874,0.438,False,True,0.0874,0.7886
015,Genetically modified food,Predators,threat infiltrating safety,demonic creature as food,ok,0.2621,0.2209,0.2415,False,False,0.2621,0.2209
016,Time,Highway,uncertainty in life,driving through fog,ok,0.2721,0.1294,0.2008,False,False,0.1294,0.2721
017,Taking risks,Shark-ridden waters,overcoming adversity,maritime peril,ok,0.5111,0.4244,0.4677,False,True,0.4244,0.5111
018,Pencils,Christmas,creativity,stars,ok,0.3934,0.3182,0.3558,False,False,0.3934,0.3182
020,Cigarettes,Money,financial waste,smoke,ok,0.7036,0.4033,0.5535,False,True,0.4033,0.7036
021,Driving safety,Lion tamer,struggle against adversity,lion taming,ok,0.8056,0.1302,0.4679,False,True,0.1302,0.8056
