model_slug,k,epsilon,metaphor_id,metaphor_type,selected_round,n_rounds_run,pullback_score,mean_judge_score,extracted_target,extracted_source,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
openrouter_openai_gpt-5_5,5,0.05,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,5,0.05,002,Attributal/visual,3,5,2.144,8.000,drunk driving,car crash,7.333,8.333,8.333,8.333,6.667,9.000,7.000,6.000,9.000,9.000,7.000,9.000,9.000,7.000,9.000
openrouter_openai_gpt-5_5,5,0.05,004,Attributal/visual,5,5,2.093,8.667,air conditioning,winter,8.667,9.000,8.333,8.333,8.667,9.000,7.000,10.000,9.000,10.000,8.000,9.000,8.000,8.000,9.000
openrouter_openai_gpt-5_5,5,0.05,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,5,0.05,006,Abstract,5,5,3.177,8.889,mcdonald's,base camp,8.667,8.667,9.333,8.667,9.000,9.000,7.000,10.000,9.000,9.000,8.000,9.000,10.000,9.000,9.000
openrouter_openai_gpt-5_5,5,0.05,022,Abstract,3,5,4.803,4.333,knowledge,book,3.333,5.333,4.333,2.667,3.000,7.333,4.000,2.000,4.000,3.000,4.000,9.000,1.000,3.000,9.000
openrouter_openai_gpt-5_5,5,0.05,023,Abstract,5,5,2.710,8.556,mobility,lock and key,8.333,9.000,8.333,8.333,8.667,8.667,7.000,9.000,9.000,9.000,9.000,9.000,9.000,8.000,8.000
openrouter_openai_gpt-5_5,5,0.05,024,Abstract,5,5,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,5,0.05,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,5,0.05,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,5,0.1,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,5,0.1,002,Attributal/visual,3,5,2.144,8.000,drunk driving,car crash,7.333,8.333,8.333,8.333,6.667,9.000,7.000,6.000,9.000,9.000,7.000,9.000,9.000,7.000,9.000
openrouter_openai_gpt-5_5,5,0.1,004,Attributal/visual,5,5,2.093,8.667,air conditioning,winter,8.667,9.000,8.333,8.333,8.667,9.000,7.000,10.000,9.000,10.000,8.000,9.000,8.000,8.000,9.000
openrouter_openai_gpt-5_5,5,0.1,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,5,0.1,006,Abstract,5,5,3.177,8.889,mcdonald's,base camp,8.667,8.667,9.333,8.667,9.000,9.000,7.000,10.000,9.000,9.000,8.000,9.000,10.000,9.000,9.000
openrouter_openai_gpt-5_5,5,0.1,022,Abstract,3,5,4.803,4.333,knowledge,book,3.333,5.333,4.333,2.667,3.000,7.333,4.000,2.000,4.000,3.000,4.000,9.000,1.000,3.000,9.000
openrouter_openai_gpt-5_5,5,0.1,023,Abstract,1,2,1.997,8.278,freedom,car,7.667,8.167,9.000,8.833,7.333,8.667,7.000,8.000,8.000,9.500,6.000,9.000,10.000,8.000,9.000
openrouter_openai_gpt-5_5,5,0.1,024,Abstract,5,5,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,5,0.1,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,5,0.1,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,5,0.2,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,5,0.2,002,Attributal/visual,3,5,2.144,8.000,drunk driving,car crash,7.333,8.333,8.333,8.333,6.667,9.000,7.000,6.000,9.000,9.000,7.000,9.000,9.000,7.000,9.000
openrouter_openai_gpt-5_5,5,0.2,004,Attributal/visual,3,3,1.635,8.812,air conditioning,winter,9.000,8.833,8.500,8.250,8.667,9.333,7.000,10.000,10.000,9.500,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,5,0.2,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,5,0.2,006,Abstract,5,5,3.177,8.889,mcdonald's,base camp,8.667,8.667,9.333,8.667,9.000,9.000,7.000,10.000,9.000,9.000,8.000,9.000,10.000,9.000,9.000
openrouter_openai_gpt-5_5,5,0.2,022,Abstract,2,2,1.116,4.000,knowledge,library,3.000,4.667,4.333,2.667,2.333,7.000,3.000,2.000,4.000,3.000,3.000,8.000,2.000,2.000,9.000
openrouter_openai_gpt-5_5,5,0.2,023,Abstract,1,2,1.997,8.278,freedom,car,7.667,8.167,9.000,8.833,7.333,8.667,7.000,8.000,8.000,9.500,6.000,9.000,10.000,8.000,9.000
